Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	
 1	3.666634				0.958981			689.299361							0.406227				7.457455			0.000000	0.000000							0.000000	1.751767					-0.732723	0.000000													0.000000	0.160938							0.000000	0.000000					
 2	3.666634				0.000156			689.767436							0.241942				7.457455			0.000000	0.000000							0.000000	0.950923					-0.509846	0.000000													0.000000	0.160938							0.000000	0.000000					
 3	3.666634				0.000000			689.938313							0.079010				9.835314			0.000000	0.000000							0.000000	0.000154					-0.212677	0.000000													0.000000	0.160938							-2.377859	0.000000					
 4	3.666634				0.000000			690.109179							0.000000				12.661004			0.000000	0.000000							0.000000	0.000000					-0.212677	0.000000													0.000000	0.078359							-2.825689	0.000000					
 5	3.666634				0.000000			689.982866							0.000000				14.945101			0.000000	0.000000							0.000000	0.000000					0.000000	0.084493													0.000000	0.000000							-2.284097	0.000000					
 6	3.666634				0.000000			690.005145							0.000000				15.929378			0.000000	0.000000							0.000000	0.000000					-0.064092	0.000000													0.000000	0.000000							-0.984277	0.000000					
 7	3.666634				0.000000			689.953131							0.000000				14.742656			0.000000	0.000000							0.000000	0.000000					0.000000	0.010200													0.000000	0.000000							0.000000	1.186722					
 8	3.666634				0.000000			689.975412							0.000000				14.169989			0.000000	0.000000							0.000000	0.000000					-0.064092	0.000000													0.000000	0.000000							0.000000	0.572667					
 9	3.666634				0.000000			690.146276							0.000000				13.904336			0.000000	0.000000							0.000000	0.000000					-0.212677	0.000000													0.000000	0.000000							0.000000	0.265652					
 10	3.666634				0.000000			690.465715							0.000000				13.178136			0.000000	0.000000							0.000000	0.000000					-0.361262	0.000000													0.000000	0.000000							0.000000	0.726200					
 11	3.666634				0.000000			690.933719							0.000000				11.837906			0.000000	0.000000							0.000000	0.000000					-0.509846	0.000000													0.000000	0.000000							0.000000	1.340230					
 12	3.666634				0.000000			691.550279							0.000000				10.006422			0.000000	0.000000							0.000000	0.000000					-0.658431	0.000000													0.000000	0.000000							0.000000	1.831484					
 13	3.666634				3.399307			692.241095							0.000000				8.666192			0.000000	0.000000							-3.399307	0.000000					-0.732723	0.000000													0.000000	0.000000							0.000000	1.340230					
 14	3.666634				9.359731			694.194795							0.000000				7.264550			0.000000	0.000000							-5.988434	0.000000					-1.995650	0.000000													0.000000	0.000000							0.000000	1.401643					
 15	3.666634				12.876850			696.742715							0.000000				5.248851			0.000000	0.000000							-3.594244	0.000000					-2.589989	0.000000													0.000000	0.000000							0.000000	2.015698					
 16	3.666634				12.988073			699.439066							0.000000				2.987526			0.000000	0.000000							-0.217327	0.000000					-2.738573	0.000000													0.000000	0.000000							0.000000	2.261325					
