Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1	7.841822														0.000000																				1.698000	8.055656			0.000000	1.110035	0.696991	0.034779												-2.804283											-4.862527											-0.010688													-0.191088																																				0.000000	0.000000																																									-11.568696	
 1 	 2	8.500250														0.000000																				1.698000	8.055656			0.000000	1.228518	0.654534	0.034761												-2.804283											-5.800844											-0.004275													-0.191088																																				0.000000	0.000000																																									-11.371229	
 1 	 3	8.275044														0.000000																				1.698000	8.055656			0.000000	1.096112	0.875892	0.034741												-2.804283											-5.835668											-0.002138													-0.191088																																				0.000000	0.000000																																									-11.202267	
 1 	 4	8.223951														0.000000																				1.698000	8.055656			0.000000	1.028415	0.997022	0.034723												-2.804283											-5.870493											-0.025652													-0.191088																																				0.000000	0.000000																																									-11.146251	
 1 	 5	8.354400														0.000000																				1.698000	8.055656			0.000000	0.971188	1.030959	0.034706												-2.804283											-5.905317											-0.068404													-0.191088																																				0.000000	0.000000																																									-11.175816	
 1 	 6	8.710274														0.000000																				1.698000	8.055656			0.000000	0.907027	1.109448	0.034686												-2.804283											-5.940142											-0.171011													-0.191088																																				0.000000	0.000000																																									-11.408567	
 1 	 7	9.315869														0.000000																				1.698000	8.055656			0.000000	0.872959	1.072278	0.034669												-2.804283											-5.905317											-0.331333													-0.191088																																				0.000000	0.000000																																									-11.817409	
 1 	 8	9.121555														0.000000																				1.698000	8.055656			0.066988	1.147145	1.019847	0.034648												-2.804283											-5.870493											-0.288580													-0.191088																																				0.000000	0.000000																																									-11.989394	
 1 	 9	7.491128														0.000000																				1.698000	8.055656			1.177069	1.722759	0.759343	0.034631												-2.804283											-5.591917											-0.267205													-0.191088																																				0.000000	0.000000																																									-12.084093	
 1 	 10	6.219995														0.000000																				1.698000	8.055656			2.872107	1.419111	0.549044	0.034611												-2.804283											-5.382969											-0.299270													-0.191088																																				0.000000	0.000000																																									-12.170913	
 1 	 11	4.268250														0.000000																				1.698000	8.055656			5.042277	0.875947	0.669506	0.034594												-2.804283											-5.104372											-0.342021													-0.191088																																				0.000000	0.000000																																									-12.202465	
 1 	 12	1.675793														0.000000																				1.698000	8.055656			7.450246	0.883128	0.650515	0.034573												-2.804283											-4.860621											-0.376224													-0.191088																																				0.000000	0.000000																																									-12.215695	
 1 	 13	0.000000														0.000000																				1.698000	8.055656			8.817519	0.911001	1.014965	0.034555												-2.804283											-5.056162											-0.342021													-0.191088																																				0.000000	0.000000																																									-12.138143	
 1 	 14	0.000000														0.000000																				1.698000	8.055656			8.776590	0.905383	0.944146	0.034536												-2.804283											-4.987821											-0.346297													-0.191088																																				0.000000	0.000000																																									-12.084821	
 1 	 15	0.742874														0.000000																				1.698000	8.055656			6.320714	0.786434	0.956056	0.034518												-2.804283											-3.296202											-0.389050													-0.191088																																				0.000000	0.000000																																									-11.913629	
 1 	 16	2.559262														0.000000																				1.698000	8.055656			4.980786	0.567940	1.733277	0.034498												-2.804283											-4.303447											-0.406152													-0.191088																																				0.000000	0.000000																																									-11.924448	
 1 	 17	2.855766														0.000000																				1.698000	8.055656			3.799663	0.536641	2.665460	0.034480												-2.804283											-4.407901											-0.406152													-0.191088																																				0.000000	0.000000																																									-11.836243	
 1 	 18	4.704918														0.000000																				1.698000	8.055656			2.125109	0.675652	2.450345	0.034461												-2.804283											-4.582024											-0.299270													-0.191088																																				0.000000	0.000000																																									-11.867476	
 1 	 19	6.779218														0.000000																				1.698000	8.055656			0.249279	0.990291	2.296691	0.034443												-2.804283											-4.790971											-0.213764													-0.191088																																				0.000000	0.000000																																									-12.103472	
 1 	 20	6.814037														0.000000																				1.698000	8.055656			0.000000	1.742740	2.042508	0.034423												-2.804283											-4.930270											-0.160323													-0.191088																																				0.000000	0.000000																																									-12.301400	
 1 	 21	6.062857														0.000000																				1.698000	8.055656			0.000000	2.288617	2.072349	0.034405												-2.804283											-5.034744											-0.106882													-0.191088																																				0.000000	0.000000																																									-12.074888	
 1 	 22	4.821097														0.000000																				1.698000	8.055656			0.000000	3.173608	2.256145	0.034388												-2.804283											-5.174021											-0.068404													-0.191088																																				0.000000	0.000000																																									-11.801096	
 1 	 23	4.408561														0.000000																				1.698000	8.055656			0.000000	3.887549	2.150354	0.034368												-2.804283											-5.313320											-0.042753													-0.191088																																				0.000000	0.000000																																									-11.883044	
 1 	 24	5.142699														0.000000																				1.698000	8.055656			0.000000	4.401468	1.929506	0.034351												-2.804283											-6.363617											-0.017101													-0.191088																																				0.000000	0.000000																																									-11.885591	
 2 	 1	0.000000														0.000000																				1.698000	8.055656			0.000000	1.747974	1.470508	0.046764												0.000000											-2.773133											-0.010688													-0.191088																																				0.000000	0.381991																																									-10.425984	
 2 	 2	0.000000														0.000000																				1.698000	8.055656			0.000000	2.110549	1.152586	0.046842												0.000000											-3.746254											-0.004275													-0.191088																																				0.000000	1.127302																																									-10.249318	
 2 	 3	0.000000														0.000000																				1.698000	8.055656			0.000000	2.414198	1.085890	0.046920												0.000000											-3.781079											-0.002138													-0.191088																																				0.000000	0.800645																																									-10.127005	
 2 	 4	0.000000														0.000000																				1.698000	8.055656			0.000000	2.590703	1.155348	0.046999												0.000000											-3.850728											-0.025652													-0.191088																																				0.000000	0.602790																																									-10.082028	
 2 	 5	0.000000														0.000000																				1.698000	8.055656			0.000000	2.800371	1.363487	0.047081												0.000000											-3.885552											-0.068404													-0.191088																																				0.000000	0.262579																																									-10.082129	
 2 	 6	0.000000														0.000000																				1.698000	8.055656			0.053754	3.454837	1.230238	0.047159												-0.257792											-3.781079											-0.171011													-0.191088																																				0.000000	0.000000																																									-10.138674	
 2 	 7	0.000000														0.000000																				1.698000	8.055656			0.969713	3.303301	1.275117	0.047236												-1.277120											-3.363204											-0.331333													-0.191088																																				0.000000	0.000000																																									-10.186277	
 2 	 8	0.000000														0.000000																				1.698000	6.365755			2.919293	3.900403	1.494512	0.047315												-2.804283											-2.840855											-0.288580													-0.191088																																				0.000000	0.000000																																									-10.300470	
 2 	 9	0.000000														0.000000																				1.698000	3.073567			6.075119	3.901910	1.209781	0.047393												-2.804283											-2.283672											-0.267205													-0.191088																																				0.000000	0.000000																																									-10.459522	
 2 	 10	0.000000														0.000000																				1.698000	0.000000			9.081564	4.800222	0.948426	0.047471												-2.804283											-1.796142											-0.299270													-0.191088																																				-0.778249	0.000000																																									-10.706650	
 2 	 11	0.000000														0.000000																				1.698000	0.000000			11.136967	4.809513	0.981434	0.000000												-2.804283											-3.025260											-0.342021													-0.191088																																				-1.345505	0.000000																																									-10.917756	
 2 	 12	0.000000														0.000000																				1.698000	0.000000			12.028585	4.099546	0.904240	0.000000												-2.804283											-2.956321											-0.376224													-0.191088																																				-1.345505	0.000000																																									-11.056949	
 2 	 13	0.000000														0.000000																				1.698000	0.000000			12.468916	3.395966	0.843302	0.000000												-2.804283											-2.642910											-0.342021													-0.191088																																				-1.345505	0.000000																																									-11.080377	
 2 	 14	0.000000														0.000000																				1.698000	0.000000			12.582276	3.167907	0.728232	0.000000												-2.804283											-2.534409											-0.346297													-0.191088																																				-1.345505	0.000000																																									-10.954833	
 2 	 15	0.000000														0.000000																				1.698000	0.000000			11.037603	3.099662	0.661457	0.047864												-2.804283											-1.082864											-0.389050													-0.191088																																				-1.345505	0.000000																																									-10.731796	
 2 	 16	0.000000														0.000000																				1.698000	0.000000			9.064148	2.732702	0.720432	0.047942												-2.804283											-0.261657											-0.406152													-0.191088																																				0.000000	0.000000																																									-10.600043	
 2 	 17	0.000000														0.000000																				1.698000	1.861539			7.388268	2.274940	0.682123	0.048019												-2.804283											0.000000											-0.406152													-0.191088																																				0.000000	0.000000																																									-10.551366	
 2 	 18	0.000000														0.000000																				1.698000	5.308867			4.822565	2.401783	0.561242	0.048098												-2.804283											-0.851385											-0.299270													-0.191088																																				0.000000	0.000000																																									-10.694527	
 2 	 19	0.000000														0.000000																				1.698000	8.055656			2.156955	2.228594	0.396188	0.048176												-2.804283											-0.642096											-0.213764													-0.191088																																				0.000000	0.000000																																									-10.732339	
 2 	 20	0.000000														0.000000																				1.698000	8.055656			0.388263	2.263292	0.277074	0.048255												-1.698130											0.000000											-0.160323													-0.191088																																				0.000000	0.000000																																									-10.680999	
 2 	 21	0.000000														0.000000																				1.698000	8.055656			0.000000	2.276968	0.250479	0.048336												0.000000											-1.358513											-0.106882													-0.191088																																				0.000000	0.000000																																									-10.672957	
 2 	 22	0.000000														0.000000																				1.698000	8.055656			0.000000	2.005112	0.163051	0.048415												0.000000											-0.959047											-0.068404													-0.191088																																				0.000000	0.000000																																									-10.751695	
 2 	 23	0.000000														0.000000																				1.698000	8.055656			0.000000	1.650458	0.020025	0.048492												0.000000											-1.481314											-0.042753													-0.191088																																				0.000000	0.940483																																									-10.697959	
 2 	 24	0.000000														0.000000																				1.698000	8.055656			0.000000	1.307918	0.015339	0.048570												0.000000											-1.908092											-0.017101													-0.191088																																				0.000000	1.513212																																									-10.522414	
 3 	 1	0.000000														0.000000																				1.698000	3.373716			0.000000	2.530489	3.454264	0.082672												0.000000											-0.683709											-0.010688													-0.191088																																				0.000000	0.000000																																									-10.253656	
 3 	 2	0.000000														0.000000																				1.698000	4.604585			0.000000	2.530461	3.385395	0.082598												0.000000											-1.935436											-0.004275													-0.191088																																				0.000000	0.000000																																									-10.170239	
 3 	 3	0.000000														0.000000																				1.698000	5.523683			0.000000	2.697785	2.363035	0.082522												0.000000											-2.109555											-0.002138													-0.191088																																				0.000000	0.000000																																									-10.062243	
 3 	 4	0.000000														0.000000																				1.698000	5.517013			0.000000	3.073269	2.089324	0.082451												0.000000											-2.214025											-0.025652													-0.191088																																				0.000000	0.000000																																									-10.029292	
 3 	 5	0.000000														0.000000																				1.698000	5.241615			0.017502	3.244183	2.164738	0.082376												0.000000											-2.144378											-0.068404													-0.191088																																				0.000000	0.000000																																									-10.044544	
 3 	 6	0.000000														0.000000																				1.698000	4.129350			0.610393	3.397775	2.296286	0.082301												0.000000											-1.691672											-0.171011													-0.191088																																				0.000000	0.000000																																									-10.160333	
 3 	 7	0.000000														0.000000																				1.698000	3.179700			2.138771	2.963858	2.146061	0.082229												0.000000											-1.134495											-0.331333													-0.191088																																				0.000000	0.000000																																									-10.551702	
 3 	 8	0.000000														0.000000																				1.698000	1.994449			4.308785	2.216069	1.667025	0.082155												0.000000											-0.577318											-0.288580													-0.191088																																				0.000000	0.000000																																									-10.909497	
 3 	 9	0.000000														0.000000																				1.698000	0.485859			6.229617	2.017172	1.718815	0.082080												0.000000											-0.577318											-0.267205													-0.191088																																				0.000000	0.000000																																									-11.195932	
 3 	 10	0.000000														0.000000																				1.698000	0.093517			7.728254	1.802817	2.300631	0.082006												-1.169057											-0.577318											-0.299270													-0.191088																																				0.000000	0.000000																																									-11.468492	
 3 	 11	0.000000														0.000000																				1.698000	1.067154			8.061555	2.257564	2.370861	0.081934												-2.804283											-0.577318											-0.342021													-0.191088																																				0.000000	0.000000																																									-11.622358	
 3 	 12	0.000000														0.000000																				1.698000	1.086191			7.776161	2.582289	2.447047	0.081859												-2.804283											-0.577318											-0.376224													-0.191088																																				0.000000	0.000000																																									-11.722633	
 3 	 13	0.000000														0.000000																				1.698000	0.371869			8.135890	3.094811	2.196149	0.081785												-2.804283											-0.577318											-0.342021													-0.191088																																				0.000000	0.000000																																									-11.663793	
 3 	 14	0.000000														0.000000																				1.698000	0.186394			8.042669	3.425868	2.162748	0.081710												-2.804283											-0.577318											-0.346297													-0.191088																																				0.000000	0.000000																																									-11.678403	
 3 	 15	0.000000														0.000000																				1.698000	0.829337			7.884799	3.230205	1.847601	0.081638												-2.804283											-0.577318											-0.389050													-0.191088																																				0.000000	0.000000																																									-11.609839	
 3 	 16	0.000000														0.000000																				1.698000	2.154055			6.657582	3.025305	1.971270	0.081564												-2.804283											-0.577318											-0.406152													-0.191088																																				0.000000	0.000000																																									-11.608935	
 3 	 17	0.000000														0.000000																				1.698000	4.017672			4.740160	2.912605	2.069365	0.081489												-2.804283											-0.577318											-0.406152													-0.191088																																				0.000000	0.000000																																									-11.540451	
 3 	 18	0.000000														0.000000																				1.698000	6.257813			2.987041	2.647848	1.754650	0.081417												-2.804283											-0.577318											-0.299270													-0.191088																																				0.000000	0.000000																																									-11.554809	
 3 	 19	0.000000														0.000000																				1.698000	8.055656			1.757212	2.477948	1.402319	0.081343												-1.737333											-1.817402											-0.213764													-0.191088																																				0.000000	0.000000																																									-11.512892	
 3 	 20	0.000000														0.000000																				1.698000	8.055656			0.747759	1.777602	0.833853	0.081268												0.000000											-1.607785											-0.160323													-0.191088																																				0.000000	0.000000																																									-11.234942	
 3 	 21	0.000000														0.000000																				1.698000	8.055656			0.117428	1.497743	0.723377	0.081194												0.000000											-0.868064											-0.106882													-0.191088																																				0.000000	0.000000																																									-11.007364	
 3 	 22	0.000000														0.000000																				1.698000	8.055656			0.000039	0.942273	0.492281	0.081122												0.000000											-0.160997											-0.068404													-0.191088																																				0.000000	0.000000																																									-10.848881	
 3 	 23	0.464511														0.000000																				1.698000	8.055656			0.000000	0.649368	0.273697	0.081047												0.000000											0.000000											-0.042753													-0.191088																																				0.000000	0.000000																																									-10.988438	
 3 	 24	0.556077														0.000000																				1.698000	8.055656			0.000000	0.582631	0.095949	0.080973												0.000000											0.000000											-0.017101													-0.191088																																				0.000000	0.000000																																									-10.861096	
 4 	 1	0.000000														0.000000																				1.698000	7.202195			0.000000	0.748008	1.815850	0.083354												0.000000											-0.997122											-0.010688													-0.191088																																				0.000000	0.000000																																									-10.348509	
 4 	 2	0.000000														0.000000																				1.698000	8.055656			0.000000	0.641365	1.249058	0.083314												0.000000											-2.039908											-0.004275													-0.191088																																				0.000000	0.720584																																									-10.212706	
 4 	 3	0.000000														0.000000																				1.698000	8.055656			0.000000	0.739238	1.307274	0.083247												0.000000											-2.109555											-0.002138													-0.191088																																				0.000000	0.548774																																									-10.129408	
 4 	 4	0.000000														0.000000																				1.698000	8.055656			0.000000	1.061167	1.061991	0.083179												0.000000											-2.144378											-0.025652													-0.191088																																				0.000000	0.485073																																									-10.083949	
 4 	 5	0.000000														0.000000																				1.698000	7.913688			0.000000	1.808052	1.004456	0.083112												0.000000											-2.144378											-0.068404													-0.191088																																				0.000000	0.000000																																									-10.103436	
 4 	 6	0.000000														0.000000																				1.698000	7.843189			0.200924	2.125624	0.627965	0.083043												0.000000											-2.005084											-0.171011													-0.191088																																				0.000000	0.000000																																									-10.211562	
 4 	 7	0.000000														0.000000																				1.698000	6.842306			1.734175	2.100601	0.264339	0.082975												0.000000											-1.761320											-0.331333													-0.191088																																				0.000000	0.000000																																									-10.438656	
 4 	 8	0.000000														0.000000																				1.698000	3.383953			5.124584	1.829649	0.183743	0.082908												0.000000											-1.552378											-0.288580													-0.191088																																				0.000000	0.418793																																									-10.689583	
