Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																																	14.589040							3.483917																																																													0.000000	2.710747																			0.000000	0.160938													-20.944642	
 1 	 2																																																																	17.404271							3.505931																																																													0.000000	0.000000																			0.000000	0.160938													-21.071140	
 1 	 3																																																																	17.508756							3.527944																																																													0.000000	0.000000																			0.000000	0.160938													-21.197638	
 1 	 4																																																																	17.613240							3.632537																																																													0.000000	0.000000																			0.000000	0.078359													-21.324136	
 1 	 5																																																																	17.717724							3.732909																																																													0.000000	0.000000																			0.000000	0.000000													-21.450633	
 1 	 6																																																																	17.822208							3.754923																																																													0.000000	0.000000																			0.000000	0.000000													-21.577131	
 1 	 7																																																																	17.717724							3.732909																																																													0.000000	0.000000																			0.000000	0.000000													-21.450633	
 1 	 8																																																																	17.613240							3.710896																																																													0.000000	0.000000																			0.000000	0.000000													-21.324136	
 1 	 9																																																																	16.777427							3.534800																																																													0.000000	0.000000																			0.000000	0.000000													-20.312228	
 1 	 10																																																																	16.150522							3.402719																																																													0.000000	0.000000																			0.000000	0.000000													-19.553241	
 1 	 11																																																																	15.314648							3.226610																																																													0.000000	0.000000																			0.000000	0.000000													-18.541259	
 1 	 12																																																																	14.583320							3.072529																																																													0.000000	0.000000																			0.000000	0.000000													-17.655848	
 1 	 13																																																																	15.170003							2.918434																																																													-1.318073	0.000000																			0.000000	0.000000													-16.770364	
 1 	 14																																																																	14.964960							2.786352																																																													-1.739936	0.000000																			0.000000	0.000000													-16.011377	
 1 	 15																																																																	9.889594							2.720325																																																													0.000000	3.022039																			0.000000	0.000000													-15.631958	
 1 	 16																																																																	12.911634							2.720325																																																													0.000000	0.000000																			0.000000	0.000000													-15.631958	
 1 	 17																																																																	13.225025							2.786352																																																													0.000000	0.000000																			0.000000	0.000000													-16.011377	
 1 	 18																																																																	13.747446							2.896420																																																													0.000000	0.000000																			0.000000	0.000000													-16.643866	
 1 	 19																																																																	14.374351							3.028501																																																													0.000000	0.000000																			0.000000	0.000000													-17.402853	
 1 	 20																																																																	14.792288							3.116556																																																													0.000000	0.000000																			0.000000	0.000000													-17.908844	
 1 	 21																																																																	15.105741							3.277966																																																													0.000000	0.000000																			-0.095369	0.000000													-18.288337	
 1 	 22																																																																	15.523617							3.431576																																																													0.000000	0.000000																			-0.160938	0.000000													-18.794254	
 1 	 23																																																																	15.941553							3.519630																																																													0.000000	0.000000																			-0.160938	0.000000													-19.300245	
 1 	 24																																																																	19.092760							3.607684																																																													-2.733270	0.000000																			-0.160938	0.000000													-19.806237	
 2 	 1																																																																	8.320231							2.163155																																																													0.000000	2.710747																			0.000000	0.160938													-13.355072	
 2 	 2																																																																	11.239886							2.207170																																																													0.000000	0.000000																			0.000000	0.160938													-13.607993	
 2 	 3																																																																	11.344370							2.229183																																																													0.000000	0.000000																			0.000000	0.160938													-13.734491	
 2 	 4																																																																	11.553339							2.355789																																																													0.000000	0.000000																			0.000000	0.078359													-13.987487	
 2 	 5																																																																	11.657823							2.456162																																																													0.000000	0.000000																			0.000000	0.000000													-14.113985	
 2 	 6																																																																	11.344370							2.390121																																																													0.000000	0.000000																			0.000000	0.000000													-13.734491	
 2 	 7																																																																	10.090621							2.125971																																																													0.000000	0.000000																			0.000000	0.000000													-12.216592	
 2 	 8																																																																	8.523419							1.795781																																																													0.000000	0.000000																			0.000000	0.000000													-10.319199	
 2 	 9																																																																	6.851702							1.443570																																																													0.000000	0.000000																			0.000000	0.000000													-8.295272	
 2 	 10																																																																	5.388965							1.135390																																																													0.000000	0.000000																			0.000000	0.000000													-6.524355	
 2 	 11																																																																	9.076689							0.849222																																																													-5.045975	0.000000																			0.000000	0.000000													-4.879936	
 2 	 12																																																																	8.869851							0.607080																																																													-5.988434	0.000000																			0.000000	0.000000													-3.488497	
 2 	 13																																																																	7.929524							0.408964																																																													-5.988434	0.000000																			0.000000	0.000000													-2.350054	
 2 	 14																																																																	7.603987							0.364938																																																													-5.871859	0.000000																			0.000000	0.000000													-2.097066	
