Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																						11.217134																																																																																					0.000000	1.644545																											-12.861678	
 1 	 2																																																						11.217134																																																																																					0.000000	1.718837																											-12.935971	
 1 	 3																																																						11.217134																																																																																					0.000000	1.793129																											-13.010263	
 1 	 4																																																						11.217134																																																																																					0.000000	1.867422																											-13.084555	
 1 	 5																																																						11.217134																																																																																					0.000000	1.941714																											-13.158848	
 1 	 6																																																						11.217134																																																																																					0.000000	2.016006																											-13.233140	
 1 	 7																																																						11.217134																																																																																					0.000000	1.941714																											-13.158848	
 1 	 8																																																						11.217134																																																																																					0.000000	1.867422																											-13.084555	
 1 	 9																																																						11.217134																																																																																					0.000000	1.273127																											-12.490260	
 1 	 10																																																						11.217134																																																																																					0.000000	0.827372																											-12.044506	
 1 	 11																																																						11.217134																																																																																					0.000000	0.233034																											-11.450167	
 1 	 12																																																						11.217134																																																																																					-0.286969	0.000000																											-10.930164	
 1 	 13																																																						11.217134																																																																																					-0.807016	0.000000																											-10.410118	
 1 	 14																																																						11.217134																																																																																					-1.252770	0.000000																											-9.964364	
 1 	 15																																																						11.217134																																																																																					-1.475603	0.000000																											-9.741530	
 1 	 16																																																						11.217134																																																																																					-1.475603	0.000000																											-9.741530	
 1 	 17																																																						11.217134																																																																																					-1.252770	0.000000																											-9.964364	
 1 	 18																																																						11.217134																																																																																					-0.881308	0.000000																											-10.335826	
 1 	 19																																																						11.217134																																																																																					-0.435554	0.000000																											-10.781580	
 1 	 20																																																						11.217134																																																																																					-0.138384	0.000000																											-11.078749	
 1 	 21																																																						11.217134																																																																																					0.000000	0.084493																											-11.301626	
 1 	 22																																																						11.217134																																																																																					0.000000	0.381618																											-11.598752	
 1 	 23																																																						11.217134																																																																																					0.000000	0.678788																											-11.895921	
 1 	 24																																																						11.217134																																																																																					0.000000	0.975957																											-12.193091	
 2 	 1																																																						0.000000																																																																																					0.000000	7.843455																											-7.843455	
 2 	 2																																																						0.000000																																																																																					0.000000	7.991996																											-7.991996	
 2 	 3																																																						0.000000																																																																																					0.000000	8.066288																											-8.066288	
 2 	 4																																																						0.000000																																																																																					0.000000	8.214873																											-8.214873	
 2 	 5																																																						0.000000																																																																																					0.000000	8.289166																											-8.289166	
 2 	 6																																																						1.031169																																																																																					0.000000	7.086678																											-8.117847	
 2 	 7																																																						5.108482																																																																																					0.000000	2.321766																											-7.430248	
 2 	 8																																																						11.217134																																																																																					-4.595795	0.000000																											-6.621339	
 2 	 9																																																						11.217134																																																																																					-5.784451	0.000000																											-5.432683	
 2 	 10																																																						11.217134																																																																																					-6.824513	0.000000																											-4.392621	
 2 	 11																																																						11.217134																																																																																					-7.790283	0.000000																											-3.426851	
 2 	 12																																																						11.217134																																																																																					-8.607477	0.000000																											-2.609657	
 2 	 13																																																						11.217134																																																																																					-9.276086	0.000000																											-1.941047	
 2 	 14																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 2 	 15																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 2 	 16																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 2 	 17																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 2 	 18																																																						11.217134																																																																																					-9.201796	0.000000																											-2.015337	
 2 	 19																																																						11.217134																																																																																					-8.458897	0.000000																											-2.758237	
 2 	 20																																																						6.792520																																																																																					-3.438320	0.000000																											-3.354200	
 2 	 21																																																						0.000000																																																																																					0.000000	3.906056																											-3.906056	
 2 	 22																																																						0.000000																																																																																					0.000000	4.797538																											-4.797538	
 2 	 23																																																						0.000000																																																																																					0.000000	5.689020																											-5.689020	
 2 	 24																																																						0.000000																																																																																					0.000000	6.580485																											-6.580485	
 3 	 1																																																						0.000000																																																																																					0.000000	3.386023																											-3.386023	
 3 	 2																																																						0.000000																																																																																					0.000000	4.128925																											-4.128925	
 3 	 3																																																						0.000000																																																																																					0.000000	4.500378																											-4.500378	
 3 	 4																																																						0.000000																																																																																					0.000000	4.723246																											-4.723246	
 3 	 5																																																						0.000000																																																																																					0.000000	4.574666																											-4.574666	
 3 	 6																																																						0.000000																																																																																					0.000000	3.608896																											-3.608896	
 3 	 7																																																						0.000000																																																																																					0.000000	2.420253																											-2.420253	
 3 	 8																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 9																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 10																																																						4.676229																																																																																					-3.210807	0.000000																											-1.465422	
 3 	 11																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 12																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 13																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 14																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 15																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 16																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 17																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 18																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 3 	 19																																																						6.949331																																																																																					-5.370255	0.000000																											-1.579077	
 3 	 20																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 21																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 22																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 23																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 3 	 24																																																						0.000000																																																																																					0.000000	1.231610																											-1.231610	
 4 	 1																																																						0.000000																																																																																					0.000000	4.054637																											-4.054637	
 4 	 2																																																						0.000000																																																																																					0.000000	4.351797																											-4.351797	
 4 	 3																																																						0.000000																																																																																					0.000000	4.500378																											-4.500378	
 4 	 4																																																						0.000000																																																																																					0.000000	4.574666																											-4.574666	
 4 	 5																																																						0.000000																																																																																					0.000000	4.574666																											-4.574666	
 4 	 6																																																						0.000000																																																																																					0.000000	4.277505																											-4.277505	
 4 	 7																																																						0.000000																																																																																					0.000000	3.757476																											-3.757476	
 4 	 8																																																						0.000000																																																																																					0.000000	3.311735																											-3.311735	
 4 	 9																																																						0.000000																																																																																					0.000000	2.791702																											-2.791702	
 4 	 10																																																						8.543329																																																																																					-5.993071	0.000000																											-2.550259	
 4 	 11																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 4 	 12																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 4 	 13																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 4 	 14																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 4 	 15																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
 4 	 16																																																						11.217134																																																																																					-9.424667	0.000000																											-1.792467	
