Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																			0.034779																							-0.034779																																																																																																																													0.000000	
 1 	 2																			0.034761																							-0.034761																																																																																																																													0.000000	
 1 	 3																			0.034741																							-0.034741																																																																																																																													0.000000	
 1 	 4																			0.034723																							-0.034723																																																																																																																													0.000000	
 1 	 5																			0.034706																							-0.034706																																																																																																																													0.000000	
 1 	 6																			0.034686																							-0.034686																																																																																																																													0.000000	
 1 	 7																			0.034669																							-0.034669																																																																																																																													0.000000	
 1 	 8																			0.034648																							-0.034648																																																																																																																													0.000000	
 1 	 9																			0.034631																							-0.034631																																																																																																																													0.000000	
 1 	 10																			0.034611																							-0.034611																																																																																																																													0.000000	
 1 	 11																			0.034594																							-0.034594																																																																																																																													0.000000	
 1 	 12																			0.034573																							-0.034573																																																																																																																													0.000000	
 1 	 13																			0.034555																							-0.034555																																																																																																																													0.000000	
 1 	 14																			0.034536																							-0.034536																																																																																																																													0.000000	
 1 	 15																			0.034518																							-0.034518																																																																																																																													0.000000	
 1 	 16																			0.034498																							-0.034498																																																																																																																													0.000000	
 1 	 17																			0.034480																							-0.034480																																																																																																																													0.000000	
 1 	 18																			0.034461																							-0.034461																																																																																																																													0.000000	
 1 	 19																			0.034443																							-0.034443																																																																																																																													0.000000	
 1 	 20																			0.034423																							-0.034423																																																																																																																													0.000000	
 1 	 21																			0.034405																							-0.034405																																																																																																																													0.000000	
 1 	 22																			0.034388																							-0.034388																																																																																																																													0.000000	
 1 	 23																			0.034368																							-0.034368																																																																																																																													0.000000	
 1 	 24																			0.034351																							-0.034351																																																																																																																													0.000000	
 2 	 1																			0.046764																							-0.046764																																																																																																																													0.000000	
 2 	 2																			0.046842																							-0.046842																																																																																																																													0.000000	
 2 	 3																			0.046920																							-0.046920																																																																																																																													0.000000	
 2 	 4																			0.046999																							-0.046999																																																																																																																													0.000000	
 2 	 5																			0.047081																							-0.047081																																																																																																																													0.000000	
 2 	 6																			0.047159																							-0.047159																																																																																																																													0.000000	
 2 	 7																			0.047236																							-0.047236																																																																																																																													0.000000	
 2 	 8																			0.047315																							-0.047315																																																																																																																													0.000000	
 2 	 9																			0.047393																							-0.047393																																																																																																																													0.000000	
 2 	 10																			0.047471																							-0.047471																																																																																																																													0.000000	
 2 	 11																			0.000000																							0.000000																																																																																																																													0.000000	
 2 	 12																			0.000000																							0.000000																																																																																																																													0.000000	
 2 	 13																			0.000000																							0.000000																																																																																																																													0.000000	
 2 	 14																			0.000000																							0.000000																																																																																																																													0.000000	
 2 	 15																			0.047864																							-0.047864																																																																																																																													0.000000	
 2 	 16																			0.047942																							-0.047942																																																																																																																													0.000000	
 2 	 17																			0.048019																							-0.048019																																																																																																																													0.000000	
 2 	 18																			0.048098																							-0.048098																																																																																																																													0.000000	
 2 	 19																			0.048176																							-0.048176																																																																																																																													0.000000	
 2 	 20																			0.048255																							-0.048255																																																																																																																													0.000000	
 2 	 21																			0.048336																							-0.048336																																																																																																																													0.000000	
 2 	 22																			0.048415																							-0.048415																																																																																																																													0.000000	
 2 	 23																			0.048492																							-0.048492																																																																																																																													0.000000	
 2 	 24																			0.048570																							-0.048570																																																																																																																													0.000000	
 3 	 1																			0.082672																							-0.082672																																																																																																																													0.000000	
 3 	 2																			0.082598																							-0.082598																																																																																																																													0.000000	
 3 	 3																			0.082522																							-0.082522																																																																																																																													0.000000	
 3 	 4																			0.082451																							-0.082451																																																																																																																													0.000000	
 3 	 5																			0.082376																							-0.082376																																																																																																																													0.000000	
 3 	 6																			0.082301																							-0.082301																																																																																																																													0.000000	
 3 	 7																			0.082229																							-0.082229																																																																																																																													0.000000	
 3 	 8																			0.082155																							-0.082155																																																																																																																													0.000000	
 3 	 9																			0.082080																							-0.082080																																																																																																																													0.000000	
 3 	 10																			0.082006																							-0.082006																																																																																																																													0.000000	
 3 	 11																			0.081934																							-0.081934																																																																																																																													0.000000	
 3 	 12																			0.081859																							-0.081859																																																																																																																													0.000000	
 3 	 13																			0.081785																							-0.081785																																																																																																																													0.000000	
