Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 2																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 3																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 4																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 5																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 6																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 7																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 8																		0.066988																					-0.066988																																																																																																																																0.000000	
 1 	 9																		1.177069																					-1.177069																																																																																																																																0.000000	
 1 	 10																		2.872107																					-2.872107																																																																																																																																0.000000	
 1 	 11																		5.042277																					-5.042277																																																																																																																																0.000000	
 1 	 12																		7.450246																					-7.450246																																																																																																																																0.000000	
 1 	 13																		8.817519																					-8.817519																																																																																																																																0.000000	
 1 	 14																		8.776590																					-8.776590																																																																																																																																0.000000	
 1 	 15																		6.320714																					-6.320714																																																																																																																																0.000000	
 1 	 16																		4.980786																					-4.980786																																																																																																																																0.000000	
 1 	 17																		3.799663																					-3.799663																																																																																																																																0.000000	
 1 	 18																		2.125109																					-2.125109																																																																																																																																0.000000	
 1 	 19																		0.249279																					-0.249279																																																																																																																																0.000000	
 1 	 20																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 21																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 22																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 23																		0.000000																					0.000000																																																																																																																																0.000000	
 1 	 24																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 1																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 2																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 3																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 4																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 5																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 6																		0.053754																					-0.053754																																																																																																																																0.000000	
 2 	 7																		0.969713																					-0.969713																																																																																																																																0.000000	
 2 	 8																		2.919293																					-2.919293																																																																																																																																0.000000	
 2 	 9																		6.075119																					-6.075119																																																																																																																																0.000000	
 2 	 10																		9.081564																					-9.081564																																																																																																																																0.000000	
 2 	 11																		11.136967																					-11.136967																																																																																																																																0.000000	
 2 	 12																		12.028585																					-12.028585																																																																																																																																0.000000	
 2 	 13																		12.468916																					-12.468916																																																																																																																																0.000000	
 2 	 14																		12.582276																					-12.582276																																																																																																																																0.000000	
 2 	 15																		11.037603																					-11.037603																																																																																																																																0.000000	
 2 	 16																		9.064148																					-9.064148																																																																																																																																0.000000	
 2 	 17																		7.388268																					-7.388268																																																																																																																																0.000000	
 2 	 18																		4.822565																					-4.822565																																																																																																																																0.000000	
 2 	 19																		2.156955																					-2.156955																																																																																																																																0.000000	
 2 	 20																		0.388263																					-0.388263																																																																																																																																0.000000	
 2 	 21																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 22																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 23																		0.000000																					0.000000																																																																																																																																0.000000	
 2 	 24																		0.000000																					0.000000																																																																																																																																0.000000	
 3 	 1																		0.000000																					0.000000																																																																																																																																0.000000	
 3 	 2																		0.000000																					0.000000																																																																																																																																0.000000	
 3 	 3																		0.000000																					0.000000																																																																																																																																0.000000	
 3 	 4																		0.000000																					0.000000																																																																																																																																0.000000	
 3 	 5																		0.017502																					-0.017502																																																																																																																																0.000000	
 3 	 6																		0.610393																					-0.610393																																																																																																																																0.000000	
 3 	 7																		2.138771																					-2.138771																																																																																																																																0.000000	
 3 	 8																		4.308785																					-4.308785																																																																																																																																0.000000	
 3 	 9																		6.229617																					-6.229617																																																																																																																																0.000000	
 3 	 10																		7.728254																					-7.728254																																																																																																																																0.000000	
 3 	 11																		8.061555																					-8.061555																																																																																																																																0.000000	
 3 	 12																		7.776161																					-7.776161																																																																																																																																0.000000	
 3 	 13																		8.135890																					-8.135890																																																																																																																																0.000000	
 3 	 14																		8.042669																					-8.042669																																																																																																																																0.000000	
