Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																	1.807026																							-1.110035	-0.696991																																																																																																																														0.000000	
 1 	 2																	1.883052																							-1.228518	-0.654534																																																																																																																														0.000000	
 1 	 3																	1.972004																							-1.096112	-0.875892																																																																																																																														0.000000	
 1 	 4																	2.025437																							-1.028415	-0.997022																																																																																																																														0.000000	
 1 	 5																	2.002147																							-0.971188	-1.030959																																																																																																																														0.000000	
 1 	 6																	2.016475																							-0.907027	-1.109448																																																																																																																														0.000000	
 1 	 7																	1.945237																							-0.872959	-1.072278																																																																																																																														0.000000	
 1 	 8																	2.166992																							-1.147145	-1.019847																																																																																																																														0.000000	
 1 	 9																	2.482102																							-1.722759	-0.759343																																																																																																																														0.000000	
 1 	 10																	1.968154																							-1.419111	-0.549044																																																																																																																														0.000000	
 1 	 11																	1.545453																							-0.875947	-0.669506																																																																																																																														0.000000	
 1 	 12																	1.533643																							-0.883128	-0.650515																																																																																																																														0.000000	
 1 	 13																	1.925967																							-0.911001	-1.014965																																																																																																																														0.000000	
 1 	 14																	1.849529																							-0.905383	-0.944146																																																																																																																														0.000000	
 1 	 15																	1.742490																							-0.786434	-0.956056																																																																																																																														0.000000	
 1 	 16																	2.301217																							-0.567940	-1.733277																																																																																																																														0.000000	
 1 	 17																	3.202101																							-0.536641	-2.665460																																																																																																																														0.000000	
 1 	 18																	3.125997																							-0.675652	-2.450345																																																																																																																														0.000000	
 1 	 19																	3.286983																							-0.990291	-2.296691																																																																																																																														0.000000	
 1 	 20																	3.785248																							-1.742740	-2.042508																																																																																																																														0.000000	
 1 	 21																	4.360966																							-2.288617	-2.072349																																																																																																																														0.000000	
 1 	 22																	5.429753																							-3.173608	-2.256145																																																																																																																														0.000000	
 1 	 23																	6.037903																							-3.887549	-2.150354																																																																																																																														0.000000	
 1 	 24																	6.330975																							-4.401468	-1.929506																																																																																																																														0.000000	
 2 	 1																	3.218483																							-1.747974	-1.470508																																																																																																																														0.000000	
 2 	 2																	3.263136																							-2.110549	-1.152586																																																																																																																														0.000000	
 2 	 3																	3.500088																							-2.414198	-1.085890																																																																																																																														0.000000	
 2 	 4																	3.746051																							-2.590703	-1.155348																																																																																																																														0.000000	
 2 	 5																	4.163858																							-2.800371	-1.363487																																																																																																																														0.000000	
 2 	 6																	4.685075																							-3.454837	-1.230238																																																																																																																														0.000000	
 2 	 7																	4.578417																							-3.303301	-1.275117																																																																																																																														0.000000	
 2 	 8																	5.394914																							-3.900403	-1.494512																																																																																																																														0.000000	
 2 	 9																	5.111691																							-3.901910	-1.209781																																																																																																																														0.000000	
 2 	 10																	5.748647																							-4.800222	-0.948426																																																																																																																														0.000000	
 2 	 11																	5.790947																							-4.809513	-0.981434																																																																																																																														0.000000	
 2 	 12																	5.003787																							-4.099546	-0.904240																																																																																																																														0.000000	
 2 	 13																	4.239268																							-3.395966	-0.843302																																																																																																																														0.000000	
 2 	 14																	3.896140																							-3.167907	-0.728232																																																																																																																														0.000000	
 2 	 15																	3.761119																							-3.099662	-0.661457																																																																																																																														0.000000	
 2 	 16																	3.453134																							-2.732702	-0.720432																																																																																																																														0.000000	
 2 	 17																	2.957063																							-2.274940	-0.682123																																																																																																																														0.000000	
 2 	 18																	2.963024																							-2.401783	-0.561242																																																																																																																														0.000000	
 2 	 19																	2.624782																							-2.228594	-0.396188																																																																																																																														0.000000	
 2 	 20																	2.540366																							-2.263292	-0.277074																																																																																																																														0.000000	
 2 	 21																	2.527448																							-2.276968	-0.250479																																																																																																																														0.000000	
 2 	 22																	2.168163																							-2.005112	-0.163051																																																																																																																														0.000000	
 2 	 23																	1.670483																							-1.650458	-0.020025																																																																																																																														0.000000	
 2 	 24																	1.323257																							-1.307918	-0.015339																																																																																																																														0.000000	
 3 	 1																	5.984753																							-2.530489	-3.454264																																																																																																																														0.000000	
 3 	 2																	5.915856																							-2.530461	-3.385395																																																																																																																														0.000000	
 3 	 3																	5.060820																							-2.697785	-2.363035																																																																																																																														0.000000	
 3 	 4																	5.162593																							-3.073269	-2.089324																																																																																																																														0.000000	
