Name	Used	Potential
ELECTRICITY	14585.327714	24344.000000
GASOLINE	0.000000	1000000.000000
DIESEL	0.000000	1000000.000000
BIOETHANOL	0.000000	1000000.000000
BIODIESEL	0.000000	1000000.000000
LFO	86163.855540	1000000.000000
NG	183812.539753	1000000.000000
SLF	0.000000	1000000.000000
SNG	0.000000	1000000.000000
WET_BIOMASS	14463.000000	14463.000000
COAL	33354.999440	33354.999440
URANIUM	40201.257096	1000000.000000
WASTE	17800.000000	17800.000000
H2	0.000000	1000000.000000
ELEC_EXPORT	0.000000	1000000.000000
CO2_EMISSIONS	50067.253234	1000000.000000
RES_WIND	33941.934571	1000000.000000
RES_SOLAR	22842.173685	1000000.000000
RES_HYDRO	479.010574	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000000	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
WOOD	0.000000	0.000000
WOOD1	12920.000000	12920.000000
WOOD2	0.000000	6793.000000
WOOD3	11037.000000	11037.000000
WOOD4	4874.949198	16196.000000
WOOD5	0.000000	8380.000000
WOOD6	0.000000	27750.000000
WOOD7	0.000000	15345.000000
WOOD8	0.000000	8424.000000
WOOD9	0.000000	4125.000000
WOOD10	0.000000	1000000.000000
