,avail_local,c_op_local,avail_exterior
WOOD,136263.89373324998,0.0276331444741419,0.0
WET_BIOMASS,1680.299399794,0.0237243188527381,0.0
ENERGY_CROPS_2,2832.4464881776,0.0184671634275097,0.0
BIOWASTE,2497.386970130201,0.0002010512980391,0.0
BIOMASS_RESIDUES,352.66658651353,0.013135,0.0
WASTE,11095.02,0.006079,0.0
GASOLINE,0.0,0.0588,1000000000000000.0
DIESEL,0.0,0.0543,1000000000000000.0
LFO,0.0,0.0521,1000000000000000.0
JET_FUEL,0.0,0.0359,1000000000000000.0
GAS,0.0,0.0195,1000000000000000.0
COAL,0.0,0.0103,1000000000000000.0
URANIUM,0.0,0.0093,1000000000000000.0
ELECTRICITY,0.0,0.0326,1000000000000000.0
