,avail_local,c_op_local,avail_exterior
WOOD,110805.66,0.022,10000.0
WET_BIOMASS,1450.62,0.033104,0.0
ENERGY_CROPS_2,7754.11,0.023524,0.0
BIOWASTE,4720.94,0.000112,0.0
BIOMASS_RESIDUES,4985.24,0.013135,0.0
WASTE,11095.02,0.006079,0.0
H2,0.0,0.0,0.0
H2_RE,0.0,0.0,0.001
AMMONIA,0.0,0.0,0.0
AMMONIA_RE,0.0,0.0,0.001
METHANOL,0.0,0.0,0.0
METHANOL_RE,0.0,0.0,0.001
GAS,0.0,0.2,25000.0
COAL,0.0,0.015,60000.0
OIL,0.0,0.05,50000.0
GASOLINE,0.0,0.06,30000.0
DIESEL,0.0,0.05,40000.0
LFO,0.0,0.05,50000.0
JET_FUEL,0.0,0.05,15000.0
URANIUM,0.0,0.005,1000000.0
GAS_RE,0.0,0.0,0.001
LFO_RE,0.0,0.0,0.001
DIESEL_RE,0.0,0.0,0.001
GASOLINE_RE,0.0,0.0,0.001
JET_FUEL_RE,0.0,0.0,0.001
