Technologies param,f_min,f_max,fmin_perc,fmax_perc
AMMONIA_STORAGE,0.0,100.0,0.0,1.0
AMMONIA_TO_H2,0.0,100.0,0.0,1.0
ATM_CCS,0.0,100.0,0.0,1.0
BATT_LI,0.0,5.0,0.0,1.0
BEV_BATT,0.0,50000.0,0.0,1.0
BIOMASS_TO_DIESEL,0.0,100.0,0.0,1.0
BIOMASS_TO_GASOLINE,0.0,100.0,0.0,1.0
BIOMASS_TO_HVC,0.0,100.0,0.0,1.0
BIOMASS_TO_JET_FUEL,0.0,100.0,0.0,1.0
BIOMASS_TO_LFO,0.0,100.0,0.0,1.0
BIOMASS_TO_METHANE,0.0,100.0,0.0,1.0
BIOMASS_TO_METHANOL,0.0,100.0,0.0,1.0
BIOMASS_TO_POWER,0.0,100.0,0.0,1.0
BIOMETHANATION_BIOWASTE,0.0,100.0,0.0,1.0
BIOMETHANATION_WET_BIOMASS,0.0,100.0,0.0,1.0
BIOWASTE_TO_DIESEL,0.0,100.0,0.0,1.0
BIOWASTE_TO_GASOLINE,0.0,100.0,0.0,1.0
BIOWASTE_TO_JET_FUEL,0.0,100.0,0.0,1.0
BIOWASTE_TO_LFO,0.0,100.0,0.0,1.0
BIOWASTE_TO_METHANE,0.0,100.0,0.0,1.0
BIOWASTE_TO_METHANOL,0.0,100.0,0.0,1.0
BOAT_FREIGHT_DIESEL,0.0,50000.0,0.0,1.0
BOAT_FREIGHT_METHANOL,0.0,100.0,0.0,1.0
BOAT_FREIGHT_NG,0.0,100.0,0.0,1.0
BUS_COACH_CNG_STOICH,0.0,100.0,0.0,1.0
BUS_COACH_DIESEL,0.0,50000.0,0.0,1.0
BUS_COACH_FC_HYBRIDH2,0.0,0.0,0.0,1.0
BUS_COACH_HYDIESEL,0.0,100.0,0.0,1.0
CAES,0.0,100.0,0.0,1.0
CARGO_AMMONIA,0.0,100.0,0.0,1.0
CARGO_FUELCELL_AMMONIA,0.0,100.0,0.0,1.0
CARGO_FUELCELL_LH2,0.0,100.0,0.0,1.0
CARGO_LFO,0.0,100000.0,0.0,1.0
CARGO_LNG,0.0,100.0,0.0,1.0
CARGO_METHANOL,0.0,100.0,0.0,1.0
CARGO_RETRO_AMMONIA,0.0,100.0,0.0,1.0
CARGO_RETRO_METHANOL,0.0,100.0,0.0,1.0
CAR_BEV,0.0,50000.0,0.0,0.01
CAR_DIESEL,0.0,50000.0,0.3,0.4
CAR_FUEL_CELL,0.0,0.0,0.0,1.0
CAR_GASOLINE,0.0,50000.0,0.55,0.65
CAR_HEV,0.0,50000.0,0.0,1.0
CAR_METHANOL,0.0,0.0,0.0,1.0
CAR_NG,0.0,100.0,0.0,1.0
CAR_PHEV,0.0,50000.0,0.0,1.0
CCGT,0.6,1.2,0.0,1.0
CCGT_AMMONIA,0.0,100.0,0.0,1.0
CO2_STORAGE,0.0,100.0,0.0,1.0
COAL_IGCC,0.0,100.0,0.0,1.0
COAL_US,3.5,4.5,0.0,1.0
DAM_STORAGE,0.001,0.001,0.0,1.0
DEC_ADVCOGEN_GAS,0.0,100.0,0.0,1.0
DEC_ADVCOGEN_H2,0.0,100.0,0.0,1.0
DEC_BOILER_GAS,0.0,10.0,0.0,1.0
DEC_BOILER_OIL,0.0,15.0,0.0,1.0
DEC_BOILER_WOOD,0.0,15.0,0.15,1.0
DEC_COGEN_GAS,0.0,5.0,0.0,1.0
DEC_COGEN_OIL,0.0,5.0,0.0,1.0
DEC_DIRECT_ELEC,0.0,10.0,0.2,1.0
DEC_ELEC_COLD,0.0,10.0,0.0,1.0
DEC_HP_ELEC,0.0,10.0,0.0,1.0
DEC_SOLAR,0.0,56.34500012203442,0.0,1.0
DEC_THHP_GAS,0.0,100.0,0.0,1.0
DHN,0.0,50000.0,0.0,1.0
DHN_BOILER_GAS,0.0,5.0,0.0,1.0
DHN_BOILER_OIL,0.4,1.0,0.0,1.0
DHN_BOILER_WOOD,0.0,10.0,0.0,1.0
DHN_COGEN_COAL,0.5,10.0,0.2,1.0
DHN_COGEN_GAS,0.6,1.5,0.05,1.0
DHN_COGEN_WASTE,0.0,5.0,0.0,1.0
DHN_COGEN_WOOD,2.5,15.0,0.3,1.0
DHN_DEEP_GEO,0.0,0.0,0.0,1.0
DHN_HP_ELEC,0.0,5.0,0.0,1.0
DHN_SOLAR,0.0,56.34500012203442,0.0,1.0
DIESEL_STORAGE,0.0,100.0,0.0,1.0
DIESEL_TO_JET_FUEL,0.0,100.0,0.0,1.0
EFFICIENCY,0.0,50000.0,0.0,1.0
GASOLINE_STORAGE,0.0,100.0,0.0,1.0
GAS_PIPELINE,0.0,100.0,0.0,1.0
GAS_STORAGE,0.0,100.0,0.0,1.0
GAS_SUBSEA,0.0,100.0,0.0,1.0
GAS_TO_HVC,0.0,100.0,0.0,1.0
GEOTHERMAL,0.0,0.3,0.0,1.0
GRID,0.0,50000.0,0.0,1.0
H2_BIOMASS,0.0,100.0,0.0,1.0
H2_ELECTROLYSIS,0.0,100.0,0.0,1.0
H2_NEW,0.0,100.0,0.0,1.0
H2_NG,0.0,100.0,0.0,1.0
H2_RETROFITTED,0.0,100.0,0.0,1.0
H2_STORAGE,0.0,100.0,0.0,1.0
H2_SUBSEA_NEW,0.0,100.0,0.0,1.0
H2_SUBSEA_RETRO,0.0,100.0,0.0,1.0
H2_TO_DIESEL,0.0,100.0,0.0,1.0
H2_TO_GASOLINE,0.0,100.0,0.0,1.0
H2_TO_JET_FUEL,0.0,100.0,0.0,1.0
H2_TO_LFO,0.0,100.0,0.0,1.0
HABER_BOSCH,0.0,100.0,0.0,1.0
HVAC_LINE,0.0,3.5,0.0,1.0
HVDC_SUBSEA,0.0,1.5,0.0,1.0
HYDRO_DAM,1.1,1.3,0.0,1.0
HYDRO_RIVER,1.9,2.1,0.0,1.0
INDUSTRY_CCS,0.0,100.0,0.0,1.0
IND_BOILER_BIOWASTE,0.0,5.0,0.0,1.0
IND_BOILER_COAL,0.5,10.0,0.15,1.0
IND_BOILER_GAS,0.0,10.0,0.05,1.0
IND_BOILER_OIL,0.2,1.0,0.0,1.0
IND_BOILER_WASTE,0.0,5.0,0.0,1.0
IND_BOILER_WOOD,5.0,20.0,0.3,1.0
IND_COGEN_COAL,0.0,5.0,0.0,1.0
IND_COGEN_GAS,0.0,5.0,0.0,1.0
IND_COGEN_WASTE,0.0,5.0,0.0,1.0
IND_COGEN_WOOD,1.0,10.0,0.15,1.0
IND_DIRECT_ELEC,0.0,10.0,0.0,1.0
IND_ELEC_COLD,0.0,10.0,0.0,1.0
JET_FUEL_STORAGE,0.0,100.0,0.0,1.0
LFO_STORAGE,0.0,100.0,0.0,1.0
METHANE_TO_METHANOL,0.0,100.0,0.0,1.0
METHANOL_STORAGE,0.0,100.0,0.0,1.0
METHANOL_TO_HVC,0.0,100.0,0.0,1.0
NUCLEAR,2.76,2.8,0.0,1.0
OIL_TO_HVC,0.0,50000.0,0.0,1.0
PHEV_BATT,0.0,50000.0,0.0,1.0
PHS,0.001,0.001,0.0,1.0
PLANE_LONG_HAUL,0.0,50000.0,0.0,1.0
PLANE_SHORT_HAUL,0.0,50000.0,0.0,1.0
POWER_TO_DIESEL,0.0,100.0,0.0,1.0
POWER_TO_GASOLINE,0.0,100.0,0.0,1.0
POWER_TO_JET_FUEL,0.0,100.0,0.0,1.0
POWER_TO_LFO,0.0,100.0,0.0,1.0
PT_COLLECTOR,0.0,0.0,0.0,1.0
PT_POWER_BLOCK,0.0,0.0,0.0,1.0
PT_STORAGE,0.0,100.0,0.0,1.0
PV_ROOFTOP,0.02,0.05,0.0,1.0
PV_UTILITY,0.0,0.02,0.0,1.0
ST_COLLECTOR,0.0,0.0,0.0,1.0
ST_POWER_BLOCK,0.0,0.0,0.0,1.0
