From,To,Resources,Network_type,tc_min,tc_max
AL,GR,ELECTRICITY,HVAC_LINE,0.4,1.5
AL,IT,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
AL,ME,ELECTRICITY,HVAC_LINE,0.4,1.5
AL,MK,ELECTRICITY,HVAC_LINE,0.5,1.5
AL,XK,ELECTRICITY,HVAC_LINE,0.25,1.5
AT,CH,ELECTRICITY,HVAC_LINE,1.2,2.4
AT,CZ,ELECTRICITY,HVAC_LINE,0.9,1.9
AT,DE,ELECTRICITY,HVAC_LINE,4.9,8.0
AT,HU,ELECTRICITY,HVAC_LINE,0.8,2.8
AT,IT,ELECTRICITY,HVAC_LINE,0.715,1.715
AT,SI,ELECTRICITY,HVAC_LINE,0.95,2.45
AT,SK,ELECTRICITY,HVAC_LINE,0.0,1.5
BA,HR,ELECTRICITY,HVAC_LINE,0.9,1.9
BA,ME,ELECTRICITY,HVAC_LINE,0.5,1.5
BA,RS,ELECTRICITY,HVAC_LINE,0.6,1.8
BE,DE,ELECTRICITY,HVAC_LINE,1.0,1.5
BE,DK,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
BE,FR,ELECTRICITY,HVAC_LINE,4.3,6.45
BE,GB,ELECTRICITY,HVDC_SUBSEA,1.0,1.5
BE,LU,ELECTRICITY,HVAC_LINE,0.68,1.5
BE,NL,ELECTRICITY,HVAC_LINE,2.4,3.6
BE,NO,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
BG,GR,ELECTRICITY,HVAC_LINE,1.7,2.55
BG,MK,ELECTRICITY,HVAC_LINE,0.4,1.5
BG,RO,ELECTRICITY,HVAC_LINE,1.83,2.745
BG,RS,ELECTRICITY,HVAC_LINE,0.4,1.89
CH,AT,ELECTRICITY,HVAC_LINE,1.2,2.4
CH,DE,ELECTRICITY,HVAC_LINE,4.2,6.3
CH,FR,ELECTRICITY,HVAC_LINE,3.7,7.2
CH,IT,ELECTRICITY,HVAC_LINE,4.44,6.66
CZ,AT,ELECTRICITY,HVAC_LINE,0.9,1.9
CZ,DE,ELECTRICITY,HVAC_LINE,2.9,4.35
CZ,PL,ELECTRICITY,HVAC_LINE,1.05,2.55
CZ,SK,ELECTRICITY,HVAC_LINE,1.6,2.4
DE,AT,ELECTRICITY,HVAC_LINE,4.9,8.0
DE,BE,ELECTRICITY,HVAC_LINE,1.0,1.5
DE,CH,ELECTRICITY,HVAC_LINE,4.2,6.3
DE,CZ,ELECTRICITY,HVAC_LINE,2.9,4.35
DE,DK,ELECTRICITY,HVAC_LINE,4.5,6.75
DE,FR,ELECTRICITY,HVAC_LINE,3.0,4.5
DE,LU,ELECTRICITY,HVAC_LINE,2.3,3.45
DE,NL,ELECTRICITY,HVAC_LINE,4.4,6.6
DE,NO,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
DE,PL,ELECTRICITY,HVAC_LINE,3.0,4.5
DE,SE,ELECTRICITY,HVDC_SUBSEA,0.615,3.515
DK,BE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
DK,DE,ELECTRICITY,HVAC_LINE,4.5,6.75
DK,GB,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
DK,NL,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
DK,NO,ELECTRICITY,HVDC_SUBSEA,1.632,2.632
DK,PL,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
DK,SE,ELECTRICITY,HVDC_SUBSEA,2.415,5.115
EE,FI,ELECTRICITY,HVDC_SUBSEA,1.016,1.716
EE,LV,ELECTRICITY,HVAC_LINE,0.95,1.65
EE,SE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
ES,FR,ELECTRICITY,HVAC_LINE,2.9,7.4
ES,PT,ELECTRICITY,HVAC_LINE,2.7,4.05
FI,EE,ELECTRICITY,HVDC_SUBSEA,1.016,1.716
FI,SE,ELECTRICITY,HVDC_SUBSEA,2.4,4.9
FR,BE,ELECTRICITY,HVAC_LINE,4.3,6.45
FR,CH,ELECTRICITY,HVAC_LINE,3.7,7.2
FR,DE,ELECTRICITY,HVAC_LINE,3.0,4.5
FR,ES,ELECTRICITY,HVAC_LINE,2.9,7.4
FR,GB,ELECTRICITY,HVDC_SUBSEA,4.0,6.0
FR,IE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
FR,IT,ELECTRICITY,HVAC_LINE,4.35,6.525
FR,LU,ELECTRICITY,HVAC_LINE,0.38,1.5
FR,NO,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
GB,BE,ELECTRICITY,HVDC_SUBSEA,1.0,1.5
GB,DK,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
GB,FR,ELECTRICITY,HVDC_SUBSEA,4.0,6.0
GB,IE,ELECTRICITY,HVDC_SUBSEA,0.95,1.5
GB,NL,ELECTRICITY,HVDC_SUBSEA,1.0,1.5
GB,NO,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
GR,AL,ELECTRICITY,HVAC_LINE,0.4,1.5
GR,BG,ELECTRICITY,HVAC_LINE,1.7,2.55
GR,IT,ELECTRICITY,HVDC_SUBSEA,0.5,1.5
GR,MK,ELECTRICITY,HVAC_LINE,1.1,2.1
HR,BA,ELECTRICITY,HVAC_LINE,0.9,1.9
HR,HU,ELECTRICITY,HVAC_LINE,0.9,1.5
HR,IT,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
HR,RS,ELECTRICITY,HVAC_LINE,0.3,1.9
HR,SI,ELECTRICITY,HVAC_LINE,1.2,2.2
HU,AT,ELECTRICITY,HVAC_LINE,0.8,2.8
HU,HR,ELECTRICITY,HVAC_LINE,0.9,1.5
HU,RO,ELECTRICITY,HVAC_LINE,1.1,3.127
HU,RS,ELECTRICITY,HVAC_LINE,0.75,1.75
HU,SI,ELECTRICITY,HVAC_LINE,1.2,2.2
HU,SK,ELECTRICITY,HVAC_LINE,2.513,3.7695
IE,FR,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
IE,GB,ELECTRICITY,HVDC_SUBSEA,0.95,1.5
IT,AL,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
IT,AT,ELECTRICITY,HVAC_LINE,0.715,1.715
IT,CH,ELECTRICITY,HVAC_LINE,4.44,6.66
IT,FR,ELECTRICITY,HVAC_LINE,4.35,6.525
IT,GR,ELECTRICITY,HVDC_SUBSEA,0.5,1.5
IT,HR,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
IT,ME,ELECTRICITY,HVDC_SUBSEA,0.6,1.5
IT,SI,ELECTRICITY,HVAC_LINE,0.73,1.5
LT,LV,ELECTRICITY,HVAC_LINE,0.95,1.5
LT,PL,ELECTRICITY,HVAC_LINE,0.492,1.5
