,avail_local,c_op_local,avail_exterior
AMMONIA,0.0,0.0,0.0
AMMONIA_RE,0.0,0.0,0.0
BIOMASS_RESIDUES,4985.24,0.013135,0.0
BIOWASTE,4720.94,0.000112,0.0
COAL,0.0,0.015,35000.0
DIESEL,0.0,0.05,25000.0
DIESEL_RE,0.0,0.05,0.0
ELECTRICITY,0.0,0.05,25000.0
ENERGY_CROPS_2,7754.11,0.023524,0.0
GAS,0.0,0.02,22000.0
GASOLINE,0.0,0.06,15000.0
GASOLINE_RE,0.0,0.06,0.0
GAS_RE,0.0,0.02,0.0
H2,0.0,0.0,0.0
H2_RE,0.0,0.0,0.0
JET_FUEL,0.0,0.05,5000.0
JET_FUEL_RE,0.0,0.05,0.0
LFO,0.0,0.05,80000.0
LFO_RE,0.0,0.05,0.0
METHANOL,0.0,0.0,0.0
METHANOL_RE,0.0,0.0,0.0
URANIUM,0.0,0.005,62000.0
WASTE,11095.02,0.006079,0.0
WET_BIOMASS,1450.62,0.033104,0.0
WOOD,110805.66,0.022084,0.0
