file,parameter,technology_or_resource,value
Technologies.csv,f_max,DEC_COGEN_OIL,0
Technologies.csv,f_max,WIND_OFFSHORE,0
Technologies.csv,f_max,GEOTHERMAL,0
Technologies.csv,f_max,DHN_DEEP_GEO,0
Technologies.csv,f_max,PT_POWER_BLOCK,0
Technologies.csv,f_max,ST_POWER_BLOCK,0
Technologies.csv,f_max,ATM_CCS,0
Technologies.csv,c_p,ATM_CCS,0
Technologies.csv,fmin_perc,DHN_COGEN_WOOD,0.15
Technologies.csv,fmin_perc,DHN_COGEN_COAL,0.15
Technologies.csv,fmin_perc,IND_COGEN_WOOD,0.15
Technologies.csv,fmin_perc,IND_COGEN_COAL,0.10
