file,parameter,technology_or_resource,value
Technologies.csv,f_max,NUCLEAR_SMR,0.0
Technologies.csv,f_max,CCGT_AMMONIA,0.0
Technologies.csv,f_max,COAL_IGCC,0.0
Technologies.csv,f_max,BIOMASS_TO_POWER,0.0
Technologies.csv,f_max,GEOTHERMAL,0.0
Technologies.csv,f_max,DEC_COGEN_OIL,0.0
Technologies.csv,f_max,DEC_ADVCOGEN_GAS,0.0
Technologies.csv,f_max,DEC_ADVCOGEN_H2,0.0
Technologies.csv,f_max,DEC_THHP_GAS_COLD,0.0
Technologies.csv,f_max,BUS_COACH_HYDIESEL,0.0
Technologies.csv,f_max,BUS_COACH_CNG_STOICH,0.0
Technologies.csv,f_max,PLANE_H2_SHORT_HAUL,0.0
Technologies.csv,f_max,CAR_NG,0.0
Technologies.csv,f_max,BOAT_FREIGHT_NG,0.0
Technologies.csv,f_max,CARGO_LNG,0.0
Technologies.csv,f_max,CARGO_FUELCELL_LH2,0.0
Technologies.csv,f_max,CARGO_FUELCELL_AMMONIA,0.0
Technologies.csv,f_max,CARGO_RETRO_METHANOL,0.0
Technologies.csv,f_max,CARGO_RETRO_AMMONIA,0.0
Technologies.csv,f_max,TRUCK_METHANOL,0.0
Technologies.csv,f_max,TRUCK_NG,0.0
Technologies.csv,f_max,HVDC_SUBSEA,0.0
Technologies.csv,f_max,GAS_PIPELINE,0.0
Technologies.csv,f_max,GAS_SUBSEA,0.0
Technologies.csv,f_max,H2_RETROFITTED,0.0
Technologies.csv,f_max,H2_NEW,0.0
Technologies.csv,f_max,H2_SUBSEA_RETRO,0.0
Technologies.csv,f_max,H2_SUBSEA_NEW,0.0
Technologies.csv,f_max,BIOMASS_TO_METHANE,0.0
Technologies.csv,f_max,BIOWASTE_TO_METHANE,0.0
Technologies.csv,f_max,BIOMETHANATION_WET_BIOMASS,0.0
Technologies.csv,f_max,BIOMETHANATION_BIOWASTE,0.0
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,0.0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,0.0
Technologies.csv,f_max,BIOMASS_TO_JET_FUEL,0.0
Technologies.csv,f_max,BIOMASS_TO_LFO,0.0
Technologies.csv,f_max,BIOWASTE_TO_GASOLINE,0.0
Technologies.csv,f_max,BIOWASTE_TO_DIESEL,0.0
Technologies.csv,f_max,BIOWASTE_TO_JET_FUEL,0.0
Technologies.csv,f_max,BIOWASTE_TO_LFO,0.0
Technologies.csv,f_max,DIESEL_TO_JET_FUEL,0.0
Technologies.csv,f_max,ATM_CCS,0.0
Technologies.csv,f_max,INDUSTRY_CCS,0.0
Technologies.csv,f_max,POWER_TO_GASOLINE,0.0
Technologies.csv,f_max,POWER_TO_DIESEL,0.0
Technologies.csv,f_max,POWER_TO_JET_FUEL,0.0
Technologies.csv,f_max,POWER_TO_LFO,0.0
Technologies.csv,f_max,H2_TO_GASOLINE,0.0
Technologies.csv,f_max,H2_TO_DIESEL,0.0
Technologies.csv,f_max,H2_TO_JET_FUEL,0.0
Technologies.csv,f_max,H2_TO_LFO,0.0
Technologies.csv,f_max,AMMONIA_TO_H2,0.0
Technologies.csv,f_max,CAES,0.0
Technologies.csv,f_max,H2_STORAGE,0.0
Technologies.csv,f_max,AMMONIA_STORAGE,0.0
Technologies.csv,f_max,METHANOL_STORAGE,0.0
Technologies.csv,f_max,CO2_STORAGE,0.0
Resources.csv,avail_exterior,ELECTRICITY,25000.0
Resources.csv,avail_exterior,GASOLINE,15000.0
Resources.csv,avail_exterior,DIESEL,25000.0
Resources.csv,avail_exterior,LFO,80000.0
Resources.csv,avail_exterior,JET_FUEL,10000.0
Resources.csv,avail_exterior,GAS,22000.0
Resources.csv,avail_exterior,COAL,35000.0
Resources.csv,avail_exterior,URANIUM,62000.0
Resources.csv,avail_exterior,GASOLINE_RE,0.0
Resources.csv,avail_exterior,DIESEL_RE,0.0
Resources.csv,avail_exterior,LFO_RE,0.0
Resources.csv,avail_exterior,JET_FUEL_RE,0.0
Resources.csv,avail_exterior,GAS_RE,0.0
Resources.csv,avail_exterior,H2,0.0
Resources.csv,avail_exterior,H2_RE,0.0
Resources.csv,avail_exterior,AMMONIA,0.0
Resources.csv,avail_exterior,METHANOL,0.0
Resources.csv,avail_exterior,AMMONIA_RE,0.0
Resources.csv,avail_exterior,METHANOL_RE,0.0
Resources.csv,avail_local,WOOD,110805.66
Resources.csv,avail_local,WET_BIOMASS,1450.62
Resources.csv,avail_local,ENERGY_CROPS_2,7754.11
Resources.csv,avail_local,BIOWASTE,4720.94
Resources.csv,avail_local,BIOMASS_RESIDUES,4985.24
Resources.csv,c_op_local,WOOD,0.022084
Resources.csv,c_op_local,WET_BIOMASS,0.033104
Resources.csv,c_op_local,ENERGY_CROPS_2,0.023524
Resources.csv,c_op_local,BIOWASTE,0.000112
