file,parameter,technology_or_resource,value
Technologies.csv,fmin_perc,AMMONIA_STORAGE,0.0
Technologies.csv,fmax_perc,AMMONIA_STORAGE,1.0
Technologies.csv,f_min,AMMONIA_STORAGE,0.0
Technologies.csv,f_max,AMMONIA_STORAGE,0.0
Technologies.csv,fmin_perc,AMMONIA_TO_H2,0.0
Technologies.csv,fmax_perc,AMMONIA_TO_H2,1.0
Technologies.csv,f_min,AMMONIA_TO_H2,0.0
Technologies.csv,f_max,AMMONIA_TO_H2,0.0
Technologies.csv,fmin_perc,ATM_CCS,0.0
Technologies.csv,fmax_perc,ATM_CCS,1.0
Technologies.csv,f_min,ATM_CCS,0.0
Technologies.csv,f_max,ATM_CCS,0.0
Technologies.csv,fmin_perc,BATT_LI,0.0
Technologies.csv,fmax_perc,BATT_LI,1.0
Technologies.csv,f_min,BATT_LI,0.0
Technologies.csv,f_max,BATT_LI,1000000000000000.0
Technologies.csv,fmin_perc,BEV_BATT,0.0
Technologies.csv,fmax_perc,BEV_BATT,1.0
Technologies.csv,f_min,BEV_BATT,0.0
Technologies.csv,f_max,BEV_BATT,1000000000000000.0
Technologies.csv,fmin_perc,BIOMASS_TO_DIESEL,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_DIESEL,1.0
Technologies.csv,f_min,BIOMASS_TO_DIESEL,0.0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,0.0
Technologies.csv,fmin_perc,BIOMASS_TO_GASOLINE,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_GASOLINE,1.0
Technologies.csv,f_min,BIOMASS_TO_GASOLINE,0.0
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,0.0
Technologies.csv,fmin_perc,BIOMASS_TO_HVC,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_HVC,1.0
Technologies.csv,f_min,BIOMASS_TO_HVC,0.0
Technologies.csv,f_max,BIOMASS_TO_HVC,1000000000000000.0
Technologies.csv,fmin_perc,BIOMASS_TO_JET_FUEL,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_JET_FUEL,1.0
Technologies.csv,f_min,BIOMASS_TO_JET_FUEL,0.0
Technologies.csv,f_max,BIOMASS_TO_JET_FUEL,0.0
Technologies.csv,fmin_perc,BIOMASS_TO_LFO,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_LFO,1.0
Technologies.csv,f_min,BIOMASS_TO_LFO,0.0
Technologies.csv,f_max,BIOMASS_TO_LFO,0.0
Technologies.csv,fmin_perc,BIOMASS_TO_METHANE,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_METHANE,1.0
Technologies.csv,f_min,BIOMASS_TO_METHANE,0.0
Technologies.csv,f_max,BIOMASS_TO_METHANE,0.0
Technologies.csv,fmin_perc,BIOMASS_TO_METHANOL,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_METHANOL,1.0
Technologies.csv,f_min,BIOMASS_TO_METHANOL,0.0
Technologies.csv,f_max,BIOMASS_TO_METHANOL,1000000000000000.0
Technologies.csv,fmin_perc,BIOMASS_TO_POWER,0.0
Technologies.csv,fmax_perc,BIOMASS_TO_POWER,1.0
Technologies.csv,f_min,BIOMASS_TO_POWER,0.0
Technologies.csv,f_max,BIOMASS_TO_POWER,0.0
Technologies.csv,fmin_perc,BIOMETHANATION_BIOWASTE,0.0
Technologies.csv,fmax_perc,BIOMETHANATION_BIOWASTE,1.0
Technologies.csv,f_min,BIOMETHANATION_BIOWASTE,0.0
Technologies.csv,f_max,BIOMETHANATION_BIOWASTE,0.0
Technologies.csv,fmin_perc,BIOMETHANATION_WET_BIOMASS,0.0
Technologies.csv,fmax_perc,BIOMETHANATION_WET_BIOMASS,1.0
Technologies.csv,f_min,BIOMETHANATION_WET_BIOMASS,0.0
Technologies.csv,f_max,BIOMETHANATION_WET_BIOMASS,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_DIESEL,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_DIESEL,1.0
Technologies.csv,f_min,BIOWASTE_TO_DIESEL,0.0
Technologies.csv,f_max,BIOWASTE_TO_DIESEL,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_GASOLINE,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_GASOLINE,1.0
Technologies.csv,f_min,BIOWASTE_TO_GASOLINE,0.0
Technologies.csv,f_max,BIOWASTE_TO_GASOLINE,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_JET_FUEL,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_JET_FUEL,1.0
Technologies.csv,f_min,BIOWASTE_TO_JET_FUEL,0.0
Technologies.csv,f_max,BIOWASTE_TO_JET_FUEL,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_LFO,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_LFO,1.0
Technologies.csv,f_min,BIOWASTE_TO_LFO,0.0
Technologies.csv,f_max,BIOWASTE_TO_LFO,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_METHANE,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_METHANE,1.0
Technologies.csv,f_min,BIOWASTE_TO_METHANE,0.0
Technologies.csv,f_max,BIOWASTE_TO_METHANE,0.0
Technologies.csv,fmin_perc,BIOWASTE_TO_METHANOL,0.0
Technologies.csv,fmax_perc,BIOWASTE_TO_METHANOL,1.0
Technologies.csv,f_min,BIOWASTE_TO_METHANOL,0.0
Technologies.csv,f_max,BIOWASTE_TO_METHANOL,1000000000000000.0
Technologies.csv,fmin_perc,BOAT_FREIGHT_DIESEL,0.6
Technologies.csv,fmax_perc,BOAT_FREIGHT_DIESEL,1.0
Technologies.csv,f_min,BOAT_FREIGHT_DIESEL,0.0
Technologies.csv,f_max,BOAT_FREIGHT_DIESEL,1000000000000000.0
Technologies.csv,fmin_perc,BOAT_FREIGHT_METHANOL,0.0
Technologies.csv,fmax_perc,BOAT_FREIGHT_METHANOL,1.0
Technologies.csv,f_min,BOAT_FREIGHT_METHANOL,0.0
Technologies.csv,f_max,BOAT_FREIGHT_METHANOL,0.0
Technologies.csv,fmin_perc,BOAT_FREIGHT_NG,0.0
Technologies.csv,fmax_perc,BOAT_FREIGHT_NG,0.05
Technologies.csv,f_min,BOAT_FREIGHT_NG,0.0
Technologies.csv,f_max,BOAT_FREIGHT_NG,0.0
Technologies.csv,fmin_perc,BUS_COACH_CNG_STOICH,0.0
Technologies.csv,fmax_perc,BUS_COACH_CNG_STOICH,1.0
Technologies.csv,f_min,BUS_COACH_CNG_STOICH,0.0
Technologies.csv,f_max,BUS_COACH_CNG_STOICH,0.0
Technologies.csv,fmin_perc,BUS_COACH_DIESEL,0.5
Technologies.csv,fmax_perc,BUS_COACH_DIESEL,1.0
Technologies.csv,f_min,BUS_COACH_DIESEL,0.0
Technologies.csv,f_max,BUS_COACH_DIESEL,1000000000000000.0
Technologies.csv,fmin_perc,BUS_COACH_FC_HYBRIDH2,0.0
Technologies.csv,fmax_perc,BUS_COACH_FC_HYBRIDH2,1.0
Technologies.csv,f_min,BUS_COACH_FC_HYBRIDH2,0.0
