file,parameter,technology_or_resource,value
Technologies.csv,f_min,NUCLEAR,2.5
Technologies.csv,f_max,CCGT,1.5
Technologies.csv,f_max,CCGT_AMMONIA,1000000000000000.0
Technologies.csv,f_max,COAL_IGCC,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_POWER,1000000000000000.0
Technologies.csv,f_max,PV_ROOFTOP,2.0
Technologies.csv,f_max,PV_UTILITY,1.0
Technologies.csv,f_min,WIND_ONSHORE,2.0
Technologies.csv,f_max,WIND_ONSHORE,2.1
Technologies.csv,f_max,WIND_OFFSHORE,0.0
Technologies.csv,f_max,IND_COGEN_GAS,1000000000000000.0
Technologies.csv,f_min,IND_COGEN_WOOD,0.0
Technologies.csv,f_max,IND_COGEN_WOOD,1000000000000000.0
Technologies.csv,fmin_perc,IND_COGEN_WOOD,0.0
Technologies.csv,f_max,IND_COGEN_WASTE,1000000000000000.0
Technologies.csv,f_max,IND_BOILER_GAS,100000.0
Technologies.csv,fmin_perc,IND_BOILER_GAS,0.0
Technologies.csv,fmax_perc,IND_BOILER_GAS,0.2
Technologies.csv,f_max,IND_BOILER_WOOD,100000.0
Technologies.csv,fmin_perc,IND_BOILER_WOOD,0.4
Technologies.csv,f_max,IND_BOILER_BIOWASTE,1000000000000000.0
Technologies.csv,f_min,IND_BOILER_OIL,0.0
Technologies.csv,f_max,IND_BOILER_COAL,100000.0
Technologies.csv,fmin_perc,IND_BOILER_COAL,0.1
Technologies.csv,f_max,IND_BOILER_WASTE,1000000000000000.0
Technologies.csv,f_max,IND_DIRECT_ELEC,1000000000000000.0
Technologies.csv,f_max,DHN_HP_ELEC,1000000000000000.0
Technologies.csv,fmin_perc,DHN_COGEN_GAS,0.0
Technologies.csv,fmax_perc,DHN_COGEN_GAS,0.2
Technologies.csv,f_max,DHN_COGEN_WOOD,100000.0
Technologies.csv,f_max,DHN_COGEN_WASTE,1000000000000000.0
Technologies.csv,f_max,DHN_BOILER_GAS,1000000000000000.0
Technologies.csv,f_max,DHN_BOILER_WOOD,1000000000000000.0
Technologies.csv,fmax_perc,DHN_BOILER_OIL,0.1
Technologies.csv,f_max,DEC_HP_ELEC,1000000000000000.0
Technologies.csv,f_max,DEC_THHP_GAS,1000000000000000.0
Technologies.csv,fmax_perc,DEC_THHP_GAS,0.0
Technologies.csv,f_max,DEC_COGEN_GAS,1000000000000000.0
Technologies.csv,f_max,DEC_COGEN_OIL,1000000000000000.0
Technologies.csv,f_max,DEC_ADVCOGEN_GAS,1000000000000000.0
Technologies.csv,f_max,DEC_ADVCOGEN_H2,1000000000000000.0
Technologies.csv,f_max,DEC_BOILER_GAS,1000000000000000.0
Technologies.csv,f_max,DEC_BOILER_WOOD,1000000000000000.0
Technologies.csv,fmin_perc,DEC_BOILER_WOOD,0.0
Technologies.csv,f_max,DEC_BOILER_OIL,1000000000000000.0
Technologies.csv,f_max,DEC_DIRECT_ELEC,1000000000000000.0
Technologies.csv,fmin_perc,DEC_DIRECT_ELEC,0.0
Technologies.csv,fmax_perc,DEC_DIRECT_ELEC,0.6
Technologies.csv,f_max,DEC_ELEC_COLD,1000000000000000.0
Technologies.csv,f_max,IND_ELEC_COLD,1000000000000000.0
Technologies.csv,f_max,TRAMWAY_TROLLEY,1000000000000000.0
Technologies.csv,fmax_perc,TRAMWAY_TROLLEY,0.3
Technologies.csv,f_max,BUS_COACH_DIESEL,100000.0
Technologies.csv,fmin_perc,BUS_COACH_DIESEL,0.9
Technologies.csv,f_max,BUS_COACH_HYDIESEL,1000000000000000.0
Technologies.csv,f_max,BUS_COACH_CNG_STOICH,1000000000000000.0
Technologies.csv,f_max,TRAIN_PUB,1000000000000000.0
Technologies.csv,fmax_perc,TRAIN_PUB,0.5
Technologies.csv,f_max,PLANE_SHORT_HAUL,1000000000000000.0
Technologies.csv,f_max,PLANE_LONG_HAUL,1000000000000000.0
Technologies.csv,f_max,CAR_GASOLINE,100000.0
Technologies.csv,f_max,CAR_DIESEL,100000.0
Technologies.csv,f_max,CAR_NG,1000000000000000.0
Technologies.csv,f_max,CAR_HEV,100000.0
Technologies.csv,fmax_perc,CAR_HEV,0.05
Technologies.csv,f_max,CAR_PHEV,100000.0
Technologies.csv,fmax_perc,CAR_PHEV,0.01
Technologies.csv,f_max,CAR_BEV,100000.0
Technologies.csv,fmax_perc,CAR_FUEL_CELL,0.0
Technologies.csv,f_max,TRAIN_FREIGHT,1000000000000000.0
Technologies.csv,f_max,BOAT_FREIGHT_DIESEL,100000.0
Technologies.csv,fmin_perc,BOAT_FREIGHT_DIESEL,0.95
Technologies.csv,f_max,BOAT_FREIGHT_NG,100000.0
Technologies.csv,fmax_perc,BOAT_FREIGHT_NG,0.05
Technologies.csv,f_max,BOAT_FREIGHT_METHANOL,0.0
Technologies.csv,f_min,CARGO_LFO,15.0
Technologies.csv,fmin_perc,CARGO_LFO,0.95
Technologies.csv,f_max,CARGO_LNG,100000.0
Technologies.csv,fmax_perc,CARGO_LNG,0.05
Technologies.csv,f_max,CARGO_METHANOL,0.0
Technologies.csv,f_max,CARGO_AMMONIA,0.0
Technologies.csv,f_max,CARGO_FUELCELL_LH2,1000000000000000.0
Technologies.csv,f_max,CARGO_FUELCELL_AMMONIA,1000000000000000.0
Technologies.csv,f_max,CARGO_RETRO_METHANOL,1000000000000000.0
Technologies.csv,f_max,CARGO_RETRO_AMMONIA,1000000000000000.0
Technologies.csv,f_max,TRUCK_DIESEL,100000.0
Technologies.csv,f_max,TRUCK_METHANOL,1000000000000000.0
Technologies.csv,f_max,TRUCK_NG,100000.0
Technologies.csv,fmax_perc,TRUCK_NG,0.05
Technologies.csv,f_max,EFFICIENCY,1000000000000000.0
Technologies.csv,f_max,DHN,1000000000000000.0
Technologies.csv,f_max,GRID,1000000000000000.0
Technologies.csv,f_max,HVAC_LINE,1000000000000000.0
Technologies.csv,f_max,HVDC_SUBSEA,1000000000000000.0
Technologies.csv,f_max,GAS_PIPELINE,1000000000000000.0
Technologies.csv,f_max,GAS_SUBSEA,1000000000000000.0
Technologies.csv,f_max,H2_RETROFITTED,1000000000000000.0
Technologies.csv,f_max,H2_NEW,1000000000000000.0
Technologies.csv,f_max,H2_SUBSEA_RETRO,1000000000000000.0
Technologies.csv,f_max,H2_SUBSEA_NEW,1000000000000000.0
Technologies.csv,f_max,H2_ELECTROLYSIS,1000000000000000.0
Technologies.csv,f_max,H2_NG,1000000000000000.0
Technologies.csv,f_max,H2_BIOMASS,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_METHANE,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_METHANE,1000000000000000.0
Technologies.csv,f_max,SYN_METHANATION,1000000000000000.0
Technologies.csv,f_max,BIOMETHANATION_WET_BIOMASS,1000000000000000.0
Technologies.csv,f_max,BIOMETHANATION_BIOWASTE,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_JET_FUEL,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_LFO,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_GASOLINE,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_DIESEL,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_JET_FUEL,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_LFO,1000000000000000.0
Technologies.csv,f_max,DIESEL_TO_JET_FUEL,1000000000000000.0
Technologies.csv,f_max,ATM_CCS,1000000000000000.0
Technologies.csv,f_max,INDUSTRY_CCS,1000000000000000.0
Technologies.csv,f_max,SYN_METHANOLATION,1000000000000000.0
Technologies.csv,f_max,METHANE_TO_METHANOL,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_METHANOL,1000000000000000.0
Technologies.csv,f_max,BIOWASTE_TO_METHANOL,1000000000000000.0
Technologies.csv,f_max,HABER_BOSCH,1000000000000000.0
Technologies.csv,f_max,POWER_TO_GASOLINE,1000000000000000.0
Technologies.csv,f_max,POWER_TO_DIESEL,1000000000000000.0
Technologies.csv,f_max,POWER_TO_JET_FUEL,1000000000000000.0
Technologies.csv,f_max,POWER_TO_LFO,1000000000000000.0
Technologies.csv,f_max,H2_TO_GASOLINE,1000000000000000.0
Technologies.csv,f_max,H2_TO_DIESEL,1000000000000000.0
Technologies.csv,f_max,H2_TO_JET_FUEL,1000000000000000.0
Technologies.csv,f_max,H2_TO_LFO,1000000000000000.0
Technologies.csv,f_max,AMMONIA_TO_H2,1000000000000000.0
Technologies.csv,f_max,OIL_TO_HVC,1000000000000000.0
Technologies.csv,f_max,GAS_TO_HVC,1000000000000000.0
Technologies.csv,f_max,BIOMASS_TO_HVC,1000000000000000.0
Technologies.csv,f_max,METHANOL_TO_HVC,1000000000000000.0
Technologies.csv,f_max,BATT_LI,1000000000000000.0
Technologies.csv,f_max,CAES,1000000000000000.0
Technologies.csv,f_max,BEV_BATT,1000000000000000.0
Technologies.csv,f_max,PHEV_BATT,1000000000000000.0
Technologies.csv,f_max,TS_DEC_DIRECT_ELEC,1000000000000000.0
Technologies.csv,f_max,TS_DEC_HP_ELEC,1000000000000000.0
Technologies.csv,f_max,TS_DEC_THHP_GAS,1000000000000000.0
Technologies.csv,f_max,TS_DEC_COGEN_GAS,1000000000000000.0
Technologies.csv,f_max,TS_DEC_COGEN_OIL,1000000000000000.0
Technologies.csv,f_max,TS_DEC_ADVCOGEN_GAS,1000000000000000.0
Technologies.csv,f_max,TS_DEC_ADVCOGEN_H2,1000000000000000.0
Technologies.csv,f_max,TS_DEC_BOILER_GAS,1000000000000000.0
Technologies.csv,f_max,TS_DEC_BOILER_WOOD,1000000000000000.0
Technologies.csv,f_max,TS_DEC_BOILER_OIL,1000000000000000.0
Technologies.csv,f_max,TS_DHN_DAILY,1000000000000000.0
Technologies.csv,f_max,TS_DHN_SEASONAL,1000000000000000.0
Technologies.csv,f_max,TS_HIGH_TEMP,1000000000000000.0
Technologies.csv,f_max,GAS_STORAGE,1000000000000000.0
Technologies.csv,f_max,H2_STORAGE,1000000000000000.0
Technologies.csv,f_max,DIESEL_STORAGE,1000000000000000.0
Technologies.csv,f_max,JET_FUEL_STORAGE,1000000000000000.0
Technologies.csv,f_max,GASOLINE_STORAGE,1000000000000000.0
Technologies.csv,f_max,LFO_STORAGE,1000000000000000.0
Technologies.csv,f_max,AMMONIA_STORAGE,1000000000000000.0
Technologies.csv,f_max,METHANOL_STORAGE,1000000000000000.0
Technologies.csv,f_max,PT_STORAGE,1000000000000000.0
Technologies.csv,f_max,ST_STORAGE,1000000000000000.0
Technologies.csv,f_max,TS_COLD,1000000000000000.0
Technologies.csv,f_max,CO2_STORAGE,1000000000000000.0
Technologies.csv,f_max,IND_COGEN_COAL,1000000000000000.0
Technologies.csv,f_max,DHN_COGEN_COAL,100000.0
Technologies.csv,fmin_perc,DHN_COGEN_COAL,0.3
Resources.csv,avail_exterior,ELECTRICITY,1000000000000000.0
Resources.csv,c_op_local,ELECTRICITY,0.0326
Resources.csv,avail_exterior,GASOLINE,1000000000000000.0
Resources.csv,c_op_local,GASOLINE,0.0588
Resources.csv,avail_exterior,DIESEL,1000000000000000.0
Resources.csv,c_op_local,DIESEL,0.0543
