file,parameter,technology_or_resource,value
Technologies.csv,fmin_perc,IND_COGEN_WOOD,0.3
Technologies.csv,f_max,IND_COGEN_WOOD,100000
Technologies.csv,f_min,IND_BOILER_WOOD,0
Technologies.csv,fmin_perc,IND_BOILER_WOOD,0.2
Technologies.csv,f_min,IND_BOILER_OIL,0.2
Technologies.csv,fmin_perc,IND_BOILER_OIL,0.05
Technologies.csv,f_min,IND_BOILER_COAL,0
Technologies.csv,fmin_perc,IND_BOILER_COAL,0.05
Technologies.csv,f_min,DHN_COGEN_WOOD,0
Technologies.csv,fmin_perc,DHN_COGEN_WOOD,0.2
Technologies.csv,f_max,DHN_BOILER_WOOD,100000
Technologies.csv,fmin_perc,DHN_BOILER_WOOD,0.15
Technologies.csv,fmin_perc,DHN_BOILER_OIL,0.05
Technologies.csv,fmax_perc,DHN_BOILER_OIL,1.0
Technologies.csv,fmin_perc,BUS_COACH_DIESEL,0.95
Technologies.csv,fmin_perc,CAR_GASOLINE,0.58
Technologies.csv,fmin_perc,CAR_DIESEL,0.38
Technologies.csv,fmin_perc,TRUCK_DIESEL,0.95
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,0
Technologies.csv,f_max,H2_TO_GASOLINE,0
Technologies.csv,f_max,H2_TO_DIESEL,0
Technologies.csv,f_max,H2_TO_JET_FUEL,0
Technologies.csv,f_max,H2_TO_LFO,0
Technologies.csv,f_min,DHN_COGEN_COAL,0
Technologies.csv,fmin_perc,DHN_COGEN_COAL,0.25
