file,parameter,technology_or_resource,value
Technologies.csv,f_max,POWER_TO_DIESEL,0
Technologies.csv,f_max,POWER_TO_JET_FUEL,0
Technologies.csv,f_max,POWER_TO_GASOLINE,0
Technologies.csv,f_max,POWER_TO_LFO,0
Technologies.csv,f_max,H2_TO_DIESEL,0
Technologies.csv,f_max,H2_TO_JET_FUEL,0
Technologies.csv,f_max,H2_TO_GASOLINE,0
Technologies.csv,f_max,H2_TO_LFO,0
Technologies.csv,f_max,SYN_METHANOLATION,0
Technologies.csv,f_max,CARGO_RETRO_METHANOL,0
Technologies.csv,f_max,BIOWASTE_TO_GASOLINE,0
Technologies.csv,f_max,BIOWASTE_TO_DIESEL,0
Technologies.csv,f_max,BIOWASTE_TO_JET_FUEL,0
Technologies.csv,f_max,BIOWASTE_TO_LFO,0
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,0
Technologies.csv,f_max,BIOMASS_TO_JET_FUEL,0
Technologies.csv,f_max,BIOMASS_TO_LFO,0
