run_name,score,PE_BIOMASS_model,PE_BIOMASS_error,PE_OIL_model,PE_OIL_error,PE_GAS_model,PE_GAS_error,PE_COAL_model,PE_COAL_error,PE_NUCLEAR_model,PE_NUCLEAR_error,PE_HYDRO_model,PE_HYDRO_error,PE_WIND_model,PE_WIND_error,ELEC_NUCLEAR_model,ELEC_NUCLEAR_error,ELEC_HYDRO_model,ELEC_HYDRO_error,ELEC_WIND_model,ELEC_WIND_error,CO2_model,CO2_error,status,provenance,timestamp,PE_BIOMASS_err%,PE_OIL_err%,PE_GAS_err%,PE_COAL_err%,PE_NUCLEAR_err%,PE_HYDRO_err%,PE_WIND_err%,ELEC_NUCLEAR_err%,ELEC_HYDRO_err%,ELEC_WIND_err%,ELEC_CHP_model,ELEC_CHP_err%,ELEC_CONDENSATION_model,ELEC_CONDENSATION_err%,ELEC_SOLAR_model,ELEC_SOLAR_err%,CO2_err%,ELEC_GAS_model,ELEC_GAS_err%,ELEC_IMPORTS_model,ELEC_IMPORTS_err%,HEAT_DHN_model,HEAT_DHN_err%
20260323_173930__v37_solar,1.24,96.8,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 17:47,3.2,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.49,1.2,3.29,0.3,0.04,0.7,0.1,4.37,36.7,19.54,4.4,52.91,45.0
20260323_171828__v36_grid_losses_recalib,1.39,96.8,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 17:28,3.2,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.49,1.2,3.29,0.3,0.04,8.5,0.1,4.37,36.7,19.54,4.3,52.91,45.0
20260323_134343__v33_oil_biomass3,1.48,95.95,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 13:52,4.0,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.58,0.8,3.25,1.1,0.04,8.5,0.1,,,,,,
20260323_132753__v32_oil_biomass2,1.54,95.93,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 13:31,4.1,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.61,0.6,3.2,2.5,0.04,8.5,0.1,,,,,,
20260323_125908__v31_oil_biomass,1.59,97.33,,79.5,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,40.87,,OK,manual,2026-03-23 13:18,2.7,3.0,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.57,0.8,3.25,1.0,0.04,8.5,0.8,,,,,,
20260323_164821__v35_grid_losses,2.74,92.69,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 16:59,7.3,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.09,3.1,3.84,16.9,0.04,8.5,0.1,4.47,39.7,20.67,1.2,52.93,45.0
20260323_164741__v35_grid_losses,2.74,92.69,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 16:58,7.3,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.09,3.1,3.84,16.9,0.04,8.5,0.1,4.47,39.7,20.67,1.2,52.93,45.0
20260323_122943__v30_cond_nudge,2.86,102.71,,74.02,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,39.33,,OK,manual,2026-03-23 12:32,2.7,9.7,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.66,0.4,3.11,5.4,0.04,8.5,4.5,,,,,,
20260323_115605__v29_nuclear_solar,3.06,102.61,,74.02,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,39.33,,OK,manual,2026-03-23 12:02,2.6,9.7,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,20.73,0.0,2.95,10.1,0.04,8.5,4.5,,,,,,
20260319_120845__v26_reconfirm2,3.15,102.51,,77.17,,20.0,,35.0,,67.4,,14.6,,4.79,,21.57,,14.6,,4.79,,40.22,,OK,manual,2026-03-19 12:47,2.5,5.9,0.0,0.0,3.7,2.7,4.1,0.1,0.0,0.1,21.27,2.6,3.21,2.2,0.02,63.4,2.4,,,,,,
