Type,Name,Cost,Capacity_F,Unit_Cost_cinv
C_inv,FI.CCGT_AMMONIA,4.48889e+13,5.8147e+10,771.99
C_inv,FI.BIOMASS_TO_POWER,3.10815e+13,1.85339e+10,1677.02
C_inv,FI.DHN_BOILER_GAS,1.02012e+13,1.16041e+11,87.91
C_inv,FI.DEC_HP_ELEC,5.35795e+13,1.08892e+11,492.04
C_inv,FI.DEC_COGEN_GAS,7.93443e+13,5.63511e+10,1408.03
C_inv,FI.DEC_COGEN_OIL,5.994e+13,4.59112e+10,1305.56
C_inv,FI.DEC_ADVCOGEN_GAS,3.4966e+14,4.82804e+10,7242.28
C_inv,FI.DEC_ADVCOGEN_H2,8.9588e+13,1.23701e+10,7242.28
C_inv,FI.DEC_BOILER_GAS,5.11709e+13,3.22773e+11,158.535
C_inv,FI.DEC_BOILER_WOOD,4.87119e+13,1.05337e+11,462.44
C_inv,FI.DEC_BOILER_OIL,4.0803e+13,2.86574e+11,142.382
C_inv,FI.DEC_DIRECT_ELEC,5.64746e+13,1.41273e+12,39.9757
C_inv,FI.DEC_ELEC_COLD,1.54374e+14,3.25569e+11,474.166
C_inv,FI.TRAMWAY_TROLLEY,3.75346e+13,6.00553e+10,625
C_inv,FI.BUS_COACH_HYDIESEL,2.37415e+13,2.84898e+10,833.333
C_inv,FI.BUS_COACH_CNG_STOICH,2.20378e+13,3.60619e+10,611.111
C_inv,FI.TRAIN_PUB,3.39566e+13,5.07314e+10,669.34
C_inv,FI.CAR_NG,1.73612e+13,4.04333e+10,429.38
C_inv,FI.PLANE_SHORT_HAUL,3.67227e+13,2.52208e+10,1456.05
C_inv,FI.TRAIN_FREIGHT,3.86737e+13,3.70383e+11,104.416
C_inv,FI.TRUCK_METHANOL,2.19449e+13,5.9133e+10,371.111
C_inv,FI.CARGO_FUELCELL_LH2,1.96862e+13,7.31234e+11,26.9219
C_inv,FI.CARGO_FUELCELL_AMMONIA,1.96943e+13,7.31535e+11,26.9219
C_inv,FI.CARGO_RETRO_METHANOL,4.06104e+12,1.30467e+12,3.1127
C_inv,FI.CARGO_RETRO_AMMONIA,5.66516e+12,1.17162e+12,4.8353
C_inv,FI.HABER_BOSCH,4.18495e+13,4.9409e+10,847
C_inv,FI.SYN_METHANOLATION,2.94277e+13,1.75201e+10,1679.65
C_inv,FI.METHANE_TO_METHANOL,2.75072e+13,2.86957e+10,958.582
C_inv,FI.BIOMASS_TO_METHANOL,3.39908e+13,7.49356e+09,4536
C_inv,FI.BIOWASTE_TO_METHANOL,3.21608e+13,7.09012e+09,4536
C_inv,FI.OIL_TO_HVC,2.9985e+13,7.59114e+10,395
C_inv,FI.GAS_TO_HVC,3.24964e+13,4.07427e+10,797.6
C_inv,FI.BIOMASS_TO_HVC,2.90655e+13,1.66756e+10,1743
C_inv,FI.METHANOL_TO_HVC,1.85675e+13,2.66316e+10,697.2
C_inv,FI.TS_DEC_DIRECT_ELEC,1.47117e+14,7.75453e+12,18.9718
