Metric,Original v5,Rerun,Reality
Objective (M€),2.323881422073051e+16,210331315668718.7,
TotalCost (M€),2.323881422073051e+16,210331315668718.7,
PE WOOD (TWh),5.145538920177729,11.395821611595304,105.0
PE OIL (TWh),203.54572708221343,205.4569697971835,96.0
PE NUCLEAR (TWh),79.95921363904573,127.30024530716737,65.0
PE COAL_PEAT (TWh),9.188372346151851,23.80853758457077,50.0
PE GAS (TWh),27.99850564745308,27.996247131734414,25.0
PE HYDRO (TWh),15.470313067333617,15.337649374513004,15.0
PE WIND (TWh),6.760717480089878,7.180114208962624,5.0
CO2 (MtCO2),74.20724508482418,80.85718293848146,42.0
